Time,Ban_Don,Cau_14,Dak_Mot,Dak_to,Duc_Xuyen,Giang_Son,Kon_Plong,Kon_Tum,Krong_Buk,Trung_Nghia
1980-01-01,150.0,150.0,0.0,-1e-30,72.3,56.2,0.0,69.7,7.9,-1e-30
1980-01-02,147.0,147.0,0.0,-1e-30,70.4,54.4,0.0,68.1,7.6,-1e-30
1980-01-03,147.0,147.0,0.0,-1e-30,69.5,51.8,0.0,68.1,7.6,-1e-30
1980-01-04,143.0,143.0,0.0,-1e-30,68.6,50.0,0.0,68.1,7.6,-1e-30
1980-01-05,140.0,140.0,0.0,-1e-30,67.7,48.3,0.0,68.1,5.3,-1e-30
1980-01-06,136.0,136.0,0.0,-1e-30,65.9,47.4,0.0,66.5,6.8,-1e-30
1980-01-07,133.0,133.0,0.0,-1e-30,65.0,45.6,0.0,66.5,6.3,-1e-30
1980-01-08,133.0,133.0,0.0,-1e-30,65.0,44.3,0.0,64.9,6.6,-1e-30
1980-01-09,129.0,129.0,0.0,-1e-30,64.1,43.9,0.0,69.7,6.6,-1e-30
1980-01-10,128.0,128.0,0.0,-1e-30,63.2,44.7,0.0,68.1,5.7,-1e-30
1980-01-11,126.0,126.0,0.0,-1e-30,63.2,43.4,0.0,64.9,6.1,-1e-30
1980-01-12,126.0,126.0,0.0,-1e-30,62.3,41.7,0.0,63.3,6.1,-1e-30
1980-01-13,126.0,126.0,0.0,-1e-30,61.5,40.8,0.0,61.7,5.9,-1e-30
1980-01-14,123.0,123.0,0.0,-1e-30,59.7,39.9,0.0,60.1,6.1,-1e-30
1980-01-15,119.0,119.0,0.0,-1e-30,58.8,38.6,0.0,58.5,6.3,-1e-30
1980-01-16,116.0,116.0,0.0,-1e-30,57.9,37.7,0.0,58.5,6.1,-1e-30
1980-01-17,116.0,116.0,0.0,-1e-30,57.1,36.8,0.0,58.5,6.1,-1e-30
1980-01-18,113.0,113.0,0.0,-1e-30,56.2,35.9,0.0,57.0,5.3,-1e-30
1980-01-19,113.0,113.0,0.0,-1e-30,55.3,34.2,0.0,55.4,5.7,-1e-30
1980-01-20,109.0,109.0,0.0,-1e-30,54.4,32.9,0.0,55.4,5.3,-1e-30
1980-01-21,108.0,108.0,0.0,-1e-30,54.4,32.4,0.0,55.4,5.3,-1e-30
1980-01-22,106.0,106.0,0.0,-1e-30,53.5,31.5,0.0,53.9,5.1,-1e-30
1980-01-23,105.0,105.0,0.0,-1e-30,52.7,31.5,0.0,53.9,5.1,-1e-30
1980-01-24,105.0,105.0,0.0,-1e-30,52.7,30.7,0.0,52.3,4.7,-1e-30
1980-01-25,103.0,103.0,0.0,-1e-30,51.8,29.8,0.0,53.9,4.9,-1e-30
1980-01-26,103.0,103.0,0.0,-1e-30,54.4,29.3,0.0,53.9,4.9,-1e-30
1980-01-27,103.0,103.0,0.0,-1e-30,68.6,30.9,0.0,55.4,4.9,-1e-30
1980-01-28,103.0,103.0,0.0,-1e-30,70.4,31.6,0.0,57.0,5.3,-1e-30
1980-01-29,119.0,119.0,0.0,-1e-30,57.1,31.6,0.0,55.4,5.1,-1e-30
1980-01-30,113.0,113.0,0.0,-1e-30,54.4,30.9,0.0,52.3,4.9,-1e-30
1980-01-31,108.0,108.0,0.0,-1e-30,52.7,29.6,0.0,50.8,4.5,-1e-30
1980-02-01,103.0,103.0,0.0,-1e-30,50.9,28.4,0.0,50.8,4.5,-1e-30
1980-02-02,100.0,100.0,0.0,-1e-30,49.1,27.4,0.0,50.8,4.4,-1e-30
1980-02-03,100.0,100.0,0.0,-1e-30,47.4,26.8,0.0,49.3,4.4,-1e-30
1980-02-04,97.2,97.2,0.0,-1e-30,47.4,26.4,0.0,49.3,4.4,-1e-30
1980-02-05,95.2,95.2,0.0,-1e-30,47.4,25.8,0.0,47.9,4.2,-1e-30
1980-02-06,95.2,95.2,0.0,-1e-30,46.5,25.8,0.0,47.9,4.2,-1e-30
1980-02-07,94.2,94.2,0.0,-1e-30,45.6,25.2,0.0,47.9,4.2,-1e-30
1980-02-08,92.7,92.7,0.0,-1e-30,44.8,24.5,0.0,46.4,4.1,-1e-30
1980-02-09,91.2,91.2,0.0,-1e-30,44.8,23.6,0.0,45.0,3.8,-1e-30
