,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,,6,,2.6,0.4,0.3,0.1,2.1,,2,56.2,
2,,10.3,,6.8,,,5.5,16.4,11.5,,46.3,
3,,,,0.8,1,,0.3,,,,12.4,
4,,,,2.1,6.6,,,1.1,8.2,,13.4,
5,,0.9,,2,36.3,0.5,8.3,,0.2,83.7,,
6,,,,0.4,2.7,,18.6,,37.6,,,
7,,,,,0.5,0.5,,25.7,,,39.5,
8,,,,,11,,1.7,92.2,,7.4,2,
9,,,,,29.7,,,17.2,0.5,1.7,,
10,,,0.4,,28,1.1,,17.7,6.7,,,
11,,,,,,6.8,1,,6,0.9,,
12,,,3.7,0.3,,,21.9,1.3,44.9,,,
13,,,,2.6,,1.1,,10.9,,,,
14,,0.2,1.1,4.9,,27.1,17.7,,,3,,
15,2.4,,,23.9,,15.9,,,,8.3,,
16,2.2,0.1,1.2,0.3,,,32.2,,,,,
17,,,1.9,,,,70.6,,,,,
18,,4.7,0.1,,29,28.4,56.9,,,,,
19,1.2,3.3,1.8,,23.3,3.1,0.8,,,,0.2,
20,0.2,0.6,,,,34,1.4,14.7,0.8,0.4,,
21,4.4,,,,,2.7,0.2,,0.2,1.2,,
22,2.8,,0.2,1.2,,0.7,,,,,,3.9
23,1.1,,3.2,5.6,3.5,,,,,25,,
24,0.6,,,0.1,1.7,2,,2.4,1,21.4,,
25,7.7,,,,13.3,,0.6,12.5,17.6,,,0.6
26,,2.6,0.1,,10.7,,,,10,18.7,,0
27,,,2.1,,,4.4,1.5,,90.3,14.8,,7.3
28,2.6,0.1,0.3,,,78.5,,0.5,13.5,,,0.7
29,2.9,3.9,1.2,,,,4.5,1.6,,18.9,,1.2
30,7.3,-999,,0.2,63.8,10.6,,,7.8,19.9,,0.6
31,5.4,-999,2.7,-999,6,-999,,32.3,-999,200.3,-999,
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,,0.1,1.4,1.7,2,13.7,,50.8,,3.8,,
2,,0.8,0.6,18.5,,3.7,1.7,0.4,,,,
3,,,0.9,0.3,,28.9,,,,,,
4,,0.9,4,,,,8.2,,,,,
5,,,1.7,13.5,,0.2,23.4,7.2,,,,
6,,,0.3,0.4,1.5,0.8,3.1,46.8,,,,
7,,,,0.3,8.6,0.3,17.9,3.5,,,,
8,,,0.1,,35.2,,2.9,,,,,
9,1.5,,2.5,,28.5,,4.8,,,,,
10,,,,,0.1,,,,,17.7,,
11,,,,4.3,33.6,,,5.7,5.4,,,
12,,,0.6,0.6,28.1,3.6,44.7,,30,,,
13,,,7.5,0.3,0.8,2.1,37.5,,6.8,0.3,,
14,,,0.4,5.8,22.7,0.8,0.1,26,,4,,
15,,,,,17.4,0.3,,11,,34.6,2.5,
