,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,142,186,237,149,195,273,513,713,591,574,578,293
2,138,211,199,160,170,251,510,652,634,525,622,296
3,156,233,197,167,161,261,543,621,599,491,643,303
4,177,265,213,172,177,322,534,594,582,464,819,303
5,189,270,228,185,185,347,574,586,616,453,928,297
6,207,234,221,189,267,334,639,595,666,484,893,288
7,195,207,194,176,322,323,721,626,657,526,819,286
8,190,192,177,170,350,318,785,666,618,502,813,260
9,210,160,156,189,367,313,800,778,592,458,790,248
10,215,143,128,194,358,333,758,910,604,435,711,252
11,209,126,123,196,358,354,688,970,611,423,644,262
12,198,108,149,195,350,350,657,974,606,415,589,268
13,194,111,169,188,340,359,652,941,558,384,550,258
14,174,127,176,172,335,384,648,893,501,352,512,255
15,164,137,189,184,313,431,644,867,476,340,484,244
16,173,149,205,202,276,436,640,849,453,337,470,237
17,180,154,224,188,263,423,657,801,441,344,466,231
18,193,150,215,180,259,423,710,725,433,342,454,216
19,238,152,196,178,263,480,763,644,423,333,429,210
20,262,180,181,180,282,558,775,584,418,312,393,205
21,274,199,183,166,327,577,774,548,415,309,376,195
22,267,192,179,176,346,571,770,524,402,306,371,176
23,252,174,168,186,337,535,739,507,394,301,352,183
24,242,162,157,180,304,487,695,492,405,316,344,200
25,225,149,163,185,278,461,715,472,411,381,349,216
26,228,150,168,204,248,450,810,471,479,403,352,218
27,243,172,168,214,255,432,877,490,621,377,327,211
28,223,231,169,193,276,450,874,531,755,375,306,221
29,177,264,161,191,281,513,817,566,751,394,289,217
30,153,,156,209,287,531,778,599,677,407,292,214
31,162,,152,,290,,761,578,,433,,210
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,207,121,166,162,200,452,354,620,386,292,146,126
2,197,157,148,163,207,408,359,639,376,258,137,138
3,193,214,147,182,193,385,418,646,345,247,155,142
4,199,235,164,193,178,438,421,638,326,245,186,162
5,188,248,168,191,196,464,481,623,324,216,197,164
6,177,263,165,175,237,456,673,610,327,214,194,160
7,196,259,160,188,270,435,793,614,327,229,183,155
8,208,244,156,196,307,416,818,624,325,233,168,148
9,208,236,144,186,334,395,811,585,318,230,164,152
10,209,258,137,183,375,366,797,501,298,224,173,138
11,196,264,154,191,367,352,775,440,291,216,181,116
12,191,229,161,193,331,336,737,408,302,213,173,107
13,189,181,152,182,344,319,708,394,311,227,157,112
14,195,154,151,200,384,303,708,389,312,239,134,113
15,186,146,136,226,361,278,711,381,331,244,130,115
16,183,135,122,224,389,297,688,377,342,234,126,121
17,183,147,128,217,490,328,671,404,321,213,108,143
18,196,174,146,212,523,362,664,439,314,197,123,145
19,216,207,159,209,519,363,662,453,323,194,144,134
20,238,242,167,204,493,351,653,452,324,211,145,124
