,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,36,31,28,48,61,80,73,255,345,507,37,31
2,34,26,23,59,45,82,111,245,338,479,44,23
3,28,23,19,53,36,66,166,230,314,445,66,21
4,22,34,21,60,45,48,215,210,293,413,98,20
5,20,41,22,53,54,44,221,194,267,396,120,15
6,17,45,33,51,54,83,197,174,247,371,131,15
7,29,47,33,56,30,99,169,172,226,328,131,17
8,25,48,30,36,28,99,144,192,212,282,125,17
9,32,51,27,32,40,104,156,195,201,244,115,17
10,41,59,26,21,54,96,208,178,188,199,107,15
11,43,59,33,17,59,91,269,201,174,170,98,14
12,39,50,33,21,59,85,259,252,162,155,103,16
13,29,51,19,20,71,75,229,343,144,142,113,13
14,31,53,17,21,94,61,205,351,132,132,120,19
15,28,50,19,25,88,50,170,342,166,127,117,25
16,28,57,27,29,79,44,138,330,237,119,127,30
17,21,58,32,30,52,45,116,345,248,113,133,32
18,19,63,39,34,44,53,112,378,252,105,129,31
19,27,57,51,34,47,66,104,395,345,101,121,30
20,30,54,71,30,41,68,89,382,436,95,120,28
21,30,54,71,28,24,68,92,365,445,91,118,25
22,31,51,62,25,14,67,88,345,420,86,116,20
23,34,41,50,22,36,72,88,317,403,84,114,18
24,33,46,38,14,40,94,162,291,364,84,112,15
25,31,43,33,12,46,89,306,268,318,82,104,13
26,36,44,45,15,49,111,348,254,286,75,88,16
27,35,40,34,28,62,117,330,270,274,73,72,23
28,40,32,23,43,69,115,290,293,421,73,57,21
29,40,39,21,55,67,108,239,292,516,71,44,22
30,34,,38,70,68,92,202,297,524,59,37,28
31,28,,53,,69,,208,314,,47,,33
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,70,38,80,64,105,108,86,151,76,139,53,46
2,70,34,72,72,106,100,91,209,80,137,47,48
3,70,30,48,85,97,97,78,231,83,118,55,49
4,64,32,51,90,83,91,81,222,84,98,71,49
5,51,40,65,88,62,88,96,210,79,86,72,55
6,49,57,64,73,46,81,162,201,70,78,70,57
7,51,68,49,68,37,77,208,198,68,75,73,61
8,48,67,55,69,53,88,221,193,75,82,74,59
9,47,72,49,78,98,82,214,175,60,90,69,57
10,43,78,58,72,145,78,204,148,53,87,61,44
11,44,81,65,72,179,69,188,128,60,91,58,34
