,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,854,859,870,855,811,1039,1089,1523,1166,1135,977,889
2,853,846,873,871,816,1041,1108,1513,1150,1135,976,873
3,876,873,858,923,881,1020,1140,1486,1138,1128,1003,869
4,868,875,824,916,979,1039,1115,1507,1175,1131,1074,902
5,886,881,825,887,1005,1038,1125,1575,1317,1440,1058,907
6,896,889,864,866,990,1036,1149,1582,1348,1498,1043,914
7,885,887,854,872,968,1046,1172,1552,1318,1293,1030,908
8,853,872,856,801,982,1026,1193,1484,1283,1169,1000,910
9,892,880,859,755,989,1023,1193,1376,1193,1148,984,904
10,900,884,871,785,989,1016,1173,1286,1217,1142,979,880
11,901,872,845,800,972,1009,1162,1248,1399,1103,976,916
12,912,854,835,809,969,1040,1161,1167,1334,1098,958,926
13,884,860,881,837,887,1086,1156,1148,1221,1104,980,935
14,860,839,880,849,859,1079,1166,1175,1184,1115,968,930
15,858,827,890,831,926,1133,1259,1216,1181,1117,966,935
16,900,819,892,826,929,1120,1359,1234,1256,1089,958,924
17,906,894,897,867,956,1096,1415,1211,1255,1081,947,885
18,894,872,866,882,957,1077,1455,1193,1190,1076,930,917
19,880,818,826,830,1096,1097,1447,1176,1168,1051,906,916
20,870,810,880,816,1153,1119,1416,1169,1155,1030,928,908
21,846,805,834,852,1110,1144,1450,1150,1145,1013,926,917
22,858,801,820,870,1073,1136,1453,1118,1137,1003,924,913
23,885,821,861,875,1065,1123,1462,1126,1117,1032,921,880
24,883,826,848,888,1066,1105,1457,1124,1102,1041,919,847
25,884,829,826,868,1045,1048,1411,1118,1107,1066,900,871
26,881,817,831,850,1003,1086,1392,1111,1132,1057,908,870
27,839,845,888,848,963,1090,1402,1132,1198,1032,936,881
28,810,855,902,866,971,1093,1473,1181,1185,1014,910,867
29,856,907,886,817,1063,1091,1528,1194,1169,1027,897,847
30,861,,877,815,1037,1093,1533,1204,1157,1007,896,808
31,886,,852,,1064,,1527,1170,,983,,805
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,885,866,836,835,889,1126,1044,1333,1112,990,869,796
