date,BaVi - ev,BaVi - rain,BaVi - temp,HD - ev,HD - temp,Lang - ev,Lang - rain,Lang - temp,ST - ev,ST - rain,ST - temp
1/1/2008,2.3,0.0,13.9,6.8,14.6,5.2,0.0,15.5,3.0,0.0,14.9
2/1/2008,2.7,0.0,11.7,4.8,12.6,4.1,0.0,14.1,3.4,0.0,13.2
3/1/2008,2.2,0.0,11.3,3.3,13.2,3.5,0.0,14.5,3.4,0.0,13.2
4/1/2008,2.0,0.0,12.6,3.2,14.1,2.6,0.0,15.9,2.8,0.0,14.5
5/1/2008,0.9,0.0,15.2,2.3,15.4,1.7,0.0,16.5,2.1,0.0,15.7
6/1/2008,1.8,0.0,17.0,2.4,17.3,2.0,0.0,18.2,3.0,0.0,17.7
7/1/2008,1.6,0.0,18.1,2.0,18.0,1.7,0.0,18.9,1.6,0.0,18.9
8/1/2008,0.9,0.0,18.3,1.3,19.1,1.3,0.0,19.8,1.3,0.0,18.8
9/1/2008,1.3,0.0,20.8,3.4,21.1,1.7,0.0,21.5,2.0,0.0,21.6
10/1/2008,2.1,0.0,21.0,2.7,21.3,2.4,0.0,21.7,2.4,0.0,21.8
11/1/2008,1.9,0.0,22.2,3.3,23.0,2.7,0.0,23.5,2.2,0.0,22.3
12/1/2008,1.8,0.0,22.4,3.1,22.4,2.3,0.0,23.0,2.4,0.0,22.6
13/1/2008,2.1,0.0,22.3,3.0,22.2,2.5,0.0,22.7,2.1,0.0,22.2
14/1/2008,3.4,0.0,14.5,3.8,14.6,2.9,0.0,14.6,2.0,0.0,14.8
15/1/2008,0.2,2.4,11.1,1.9,11.2,1.5,0.0,11.4,0.9,1.3,11.7
16/1/2008,0.6,2.2,12.0,3.3,12.8,2.8,0.0,13.0,0.9,0.3,12.6
17/1/2008,1.4,0.0,13.6,3.6,14.1,2.8,0.0,14.5,1.4,0.0,14.0
18/1/2008,1.2,0.0,13.5,2.7,14.7,2.3,0.0,15.0,1.6,0.0,14.1
19/1/2008,0.4,1.2,13.6,0.4,14.5,0.8,0.7,14.5,0.4,0.7,14.0
20/1/2008,0.4,0.2,16.0,0.4,16.1,0.4,0.0,16.5,0.9,0.0,16.3
21/1/2008,0.2,4.4,14.6,0.2,14.8,0.4,2.6,14.6,0.5,2.1,14.6
22/1/2008,0.0,2.8,11.5,0.4,11.3,0.6,0.7,11.3,0.2,3.0,11.9
23/1/2008,0.5,1.1,11.7,1.7,12.3,1.5,0.0,12.5,0.7,1.0,12.2
24/1/2008,0.9,0.6,12.2,3.0,12.7,2.0,0.0,12.8,1.4,0.4,13.1
25/1/2008,0.4,7.7,11.5,0.9,11.3,1.0,13.0,11.3,0.3,12.5,11.7
26/1/2008,0.4,0.0,12.9,1.0,12.6,0.8,0.0,12.6,0.6,0.0,13.0
27/1/2008,1.2,0.0,11.5,2.4,11.4,1.6,0.0,11.6,1.5,0.0,11.9
28/1/2008,0.1,2.6,9.9,0.2,9.7,0.3,0.9,9.7,0.1,1.8,10.0
29/1/2008,0.4,2.9,10.4,0.8,10.5,0.5,1.5,10.8,0.5,2.5,10.8
30/1/2008,0.1,7.3,10.2,0.8,9.9,0.6,1.0,10.0,0.2,5.2,10.3
31/1/2008,0.4,5.4,8.8,1.4,8.9,1.1,6.2,8.9,1.0,4.8,9.3
1/2/2008,0.4,6.0,7.1,0.9,7.3,0.8,0.2,7.4,0.2,4.6,7.6
2/2/2008,0.3,10.3,8.7,1.7,9.2,1.3,5.7,9.5,0.5,10.1,9.3
3/2/2008,1.2,0.0,11.0,2.1,11.6,1.9,0.0,11.8,1.0,0.0,11.7
4/2/2008,0.9,0.0,11.8,2.6,12.1,2.3,0.0,12.4,2.4,0.0,12.3
5/2/2008,0.4,0.9,11.8,1.3,12.5,1.5,0.0,12.8,0.8,1.1,12.3
6/2/2008,1.2,0.0,12.1,2.2,12.7,2.0,0.0,13.1,1.4,0.0,12.8
7/2/2008,1.7,0.0,12.0,2.6,12.5,2.2,0.0,12.8,1.4,0.0,12.8
8/2/2008,1.4,0.0,12.1,3.2,12.6,2.4,0.0,13.1,1.6,0.0,12.8
9/2/2008,2.7,0.0,12.0,4.4,12.7,3.8,0.0,13.0,1.8,0.0,12.8
10/2/2008,2.0,0.0,11.5,3.6,11.8,2.7,0.0,12.1,2.3,0.0,11.9
11/2/2008,1.2,0.0,10.3,2.1,10.8,2.2,0.0,11.3,1.6,0.0,11.0
12/2/2008,1.5,0.0,11.5,3.3,12.0,2.5,0.0,12.3,1.9,0.0,12.1
13/2/2008,1.7,0.0,11.1,4.2,12.0,4.0,0.0,12.2,2.2,0.0,11.8
14/2/2008,1.8,0.2,11.0,3.9,11.6,3.3,0.0,12.2,2.8,0.3,11.8
15/2/2008,1.3,0.0,12.8,3.2,13.3,2.7,0.0,13.7,2.1,0.0,13.5
16/2/2008,1.4,0.1,13.5,2.5,14.2,2.5,0.0,14.4,2.0,0.0,14.0
17/2/2008,0.9,0.0,12.2,1.0,11.6,0.9,1.8,11.7,0.8,0.0,12.5
18/2/2008,0.1,4.7,11.9,1.0,12.0,0.5,2.1,12.2,0.3,3.2,12.2
19/2/2008,0.1,3.3,12.1,0.5,12.3,0.6,0.0,12.5,0.3,3.4,12.5
20/2/2008,0.4,0.6,13.5,1.2,13.8,1.3,0.0,14.3,0.7,0.1,13.8
21/2/2008,1.2,0.0,15.7,2.4,16.2,2.1,0.0,16.6,2.1,0.0,16.6
22/2/2008,2.0,0.0,17.1,2.5,17.8,2.1,0.0,18.1,2.4,0.0,18.4
23/2/2008,2.2,0.0,19.0,2.4,19.8,2.3,0.0,20.4,2.8,0.0,19.9
24/2/2008,1.7,0.0,19.3,1.8,18.9,2.0,0.0,19.5,2.2,0.0,19.6
25/2/2008,1.4,0.0,19.0,0.9,18.4,0.5,1.0,18.9,0.9,0.0,19.0
26/2/2008,1.0,2.6,17.2,1.6,17.2,1.1,0.8,17.3,1.2,3.4,17.7
27/2/2008,2.3,0.0,14.6,5.2,14.7,3.9,0.0,15.0,2.2,0.0,15.1
28/2/2008,2.1,0.1,14.4,3.7,14.3,3.7,0.0,14.9,2.7,0.5,14.7
29/2/2008,2.0,3.9,14.7,2.3,14.8,2.2,2.3,15.0,2.6,2.7,15.1
30/2/2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
31/2/2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/3/2008,1.8,0.0,15.0,3.0,15.7,2.6,0.0,16.6,2.6,0.0,16.0
2/3/2008,2.6,0.0,16.6,3.2,17.2,3.3,0.0,17.9,3.2,0.0,17.9
3/3/2008,3.4,0.0,17.1,4.9,18.7,3.6,0.0,19.8,3.7,0.0,18.8
4/3/2008,3.9,0.0,17.7,4.7,18.9,4.2,0.0,20.1,4.6,0.0,19.1
5/3/2008,2.0,0.0,16.9,2.5,18.2,2.7,0.0,19.3,2.3,0.0,18.1
6/3/2008,1.7,0.0,18.8,3.1,19.3,2.0,0.0,19.7,2.1,0.0,19.8
7/3/2008,2.3,0.0,20.2,1.9,19.7,1.6,0.0,20.1,2.5,0.0,20.6
8/3/2008,2.1,0.0,19.9,2.6,20.0,2.5,0.0,20.9,2.6,0.0,20.6
9/3/2008,2.0,0.0,19.6,2.7,19.7,2.3,0.0,20.0,1.6,0.0,19.8
10/3/2008,1.1,0.4,19.2,1.6,19.2,1.4,0.0,19.9,1.2,0.0,19.6
11/3/2008,1.1,0.0,20.8,2.0,21.0,1.8,0.0,21.5,1.7,0.0,21.3
12/3/2008,2.0,3.7,21.2,3.2,20.3,2.5,0.0,20.9,2.5,4.1,21.4
13/3/2008,0.9,0.0,20.0,1.1,19.7,1.6,0.0,20.0,1.1,0.0,20.3
14/3/2008,0.7,1.1,20.3,0.7,20.5,0.5,0.4,20.6,0.9,0.8,20.9
15/3/2008,1.1,0.0,21.0,2.2,21.0,1.5,0.2,21.3,1.6,0.0,21.7
16/3/2008,0.4,1.2,21.7,0.7,21.7,0.9,0.7,22.0,0.9,0.2,22.2
17/3/2008,0.4,1.9,22.6,2.0,22.8,1.3,0.5,23.1,1.1,1.2,23.2
18/3/2008,1.1,0.1,22.9,2.0,23.1,1.1,3.7,23.3,1.1,0.2,23.1
19/3/2008,1.0,1.8,22.4,1.5,22.2,1.2,0.0,22.6,1.2,1.6,22.7
20/3/2008,1.6,0.0,23.9,2.4,23.2,2.0,0.0,23.4,1.6,0.0,24.0
21/3/2008,2.2,0.0,25.2,2.2,24.4,1.5,0.0,24.7,2.3,0.0,25.2
22/3/2008,1.4,0.2,22.5,1.3,22.7,0.7,6.9,22.6,1.3,0.5,22.9
23/3/2008,2.6,3.2,21.4,4.0,21.8,3.3,0.1,22.2,3.3,1.8,21.9
24/3/2008,3.4,0.0,20.9,4.7,21.3,4.0,0.0,22.1,3.6,0.0,21.6
25/3/2008,2.1,0.0,21.7,3.3,21.4,3.3,0.0,22.0,2.5,0.0,21.7
26/3/2008,1.9,0.1,21.9,3.0,21.4,2.9,0.0,22.2,2.7,0.0,22.4
27/3/2008,1.2,2.1,19.9,2.4,20.0,2.1,0.0,20.5,1.7,0.8,20.4
28/3/2008,0.9,0.3,21.3,1.7,21.9,1.5,0.6,22.1,1.2,0.2,21.8
29/3/2008,1.0,1.2,24.0,2.3,24.6,1.4,0.1,25.0,1.3,0.5,24.6
30/3/2008,1.3,0.0,25.2,1.4,24.7,1.4,0.4,25.2,1.8,0.0,25.5
31/3/2008,0.6,2.7,22.0,1.1,22.4,0.7,6.6,22.4,0.6,4.0,22.3
1/4/2008,0.4,2.6,19.5,0.9,19.9,1.0,2.6,19.8,0.8,1.4,20.0
2/4/2008,0.8,6.8,17.8,1.9,18.4,1.2,1.4,18.5,0.6,5.3,18.4
3/4/2008,0.2,0.8,18.1,0.9,18.3,1.0,0.3,18.5,0.6,0.2,18.5
4/4/2008,0.3,2.1,20.6,1.1,20.6,1.5,1.0,20.7,0.6,0.8,20.8
5/4/2008,0.4,2.0,22.0,0.6,22.8,2.0,0.8,23.1,0.6,2.4,22.5
6/4/2008,0.9,0.4,25.0,2.6,25.1,1.8,0.0,25.5,1.4,0.0,25.4
7/4/2008,1.7,0.0,26.0,2.7,26.0,2.2,0.0,26.3,2.2,0.0,26.3
8/4/2008,1.9,0.0,26.3,2.7,26.3,2.1,0.0,27.0,1.6,0.0,26.6
9/4/2008,1.7,0.0,26.9,3.0,27.2,2.9,0.0,27.6,2.3,0.0,26.8
10/4/2008,1.1,0.0,25.6,1.8,25.3,1.6,0.0,26.1,1.1,0.0,26.1
11/4/2008,0.8,0.0,25.6,1.0,25.5,1.1,0.0,26.0,0.8,0.0,26.0
12/4/2008,0.4,0.3,25.8,1.4,25.9,1.1,0.0,26.3,0.8,0.4,26.2
13/4/2008,1.2,2.6,24.8,0.9,24.6,0.9,6.1,24.9,1.3,1.9,24.8
14/4/2008,2.1,4.9,25.5,3.0,25.3,2.2,1.6,25.8,2.8,5.2,25.6
15/4/2008,1.9,23.9,25.1,2.8,24.8,3.2,13.2,25.3,2.1,23.7,25.3
16/4/2008,2.0,0.3,27.1,2.5,25.6,2.4,0.0,25.9,2.1,0.0,26.0
17/4/2008,2.3,0.0,27.1,2.3,25.6,2.1,0.0,26.2,2.6,0.0,26.1
18/4/2008,2.5,0.0,26.4,3.4,26.2,3.1,0.0,26.6,2.9,0.0,26.4
19/4/2008,2.0,0.0,27.3,3.4,26.5,3.4,0.0,27.6,3.4,0.0,27.1
20/4/2008,1.9,0.0,27.2,2.1,27.2,2.6,0.0,27.7,1.9,0.0,27.7
21/4/2008,2.6,0.0,27.9,2.8,27.7,2.6,0.1,28.3,2.7,0.0,28.2
22/4/2008,1.8,1.2,26.3,1.5,26.0,1.4,93.4,26.5,1.8,2.9,26.6
23/4/2008,0.5,5.6,21.0,2.6,21.7,1.9,0.3,22.1,1.1,1.9,21.8
24/4/2008,1.6,0.1,21.1,2.1,20.8,2.8,0.1,21.4,1.6,0.2,21.5
25/4/2008,1.4,0.0,21.7,2.6,22.1,2.4,0.0,22.9,2.3,0.0,22.3
26/4/2008,1.6,0.0,22.1,2.9,22.6,2.4,0.0,23.3,2.2,0.0,22.8
27/4/2008,2.1,0.0,23.4,2.4,23.5,1.9,0.0,23.9,2.5,0.0,23.7
28/4/2008,2.2,0.0,23.6,3.4,23.8,2.3,0.1,24.5,3.0,0.0,24.1
29/4/2008,2.9,0.0,24.4,3.5,24.8,2.6,0.0,25.6,2.7,0.0,25.2
30/4/2008,1.9,0.2,25.1,2.1,25.4,1.9,0.6,26.0,1.9,0.0,25.9
31/4/2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1/5/2008,1.1,0.4,26.1,2.3,26.3,1.4,15.8,26.6,1.8,1.3,26.3
2/5/2008,2.1,0.0,28.2,2.5,27.7,2.1,0.0,27.8,2.7,0.0,28.2
3/5/2008,2.6,1.0,27.4,2.5,27.4,1.8,0.7,28.2,2.5,0.6,27.9
4/5/2008,1.2,6.6,27.5,3.2,28.1,2.5,0.0,28.8,2.4,5.4,28.1
5/5/2008,0.9,36.3,23.0,1.2,23.3,1.0,17.1,23.5,2.2,35.9,23.0
6/5/2008,1.0,2.7,24.1,1.4,24.5,1.3,4.1,24.8,1.4,2.8,24.4
