,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,5.2,0.8,2.6,1,1.4,1.9,3.7,1.5,2.4,2.6,0.5,2.7
2,4.1,1.3,3.3,1.2,2.1,1.9,2.8,1.7,2.7,2.3,0.5,2.3
3,3.5,1.9,3.6,1,1.8,3,3.4,1.9,2.6,2.6,0.6,2.1
4,2.6,2.3,4.2,1.5,2.5,1.8,3,2.8,1.4,2.8,0.7,2
5,1.7,1.5,2.7,2,1,2.3,2.7,2.6,1,1.6,0.6,3.7
6,2,2,2,1.8,1.3,2.2,1.3,2.7,1.1,3,1.2,4.2
7,1.7,2.2,1.6,2.2,2.1,2.3,2,2.1,1.7,2.9,0.7,2.9
8,1.3,2.4,2.5,2.1,2,2.7,2.2,1,2,2.6,2.9,3.6
9,1.7,3.8,2.3,2.9,2.1,3.5,1.7,2,3,2.3,3.7,2.7
10,2.4,2.7,1.4,1.6,2.6,2.4,2.9,1.1,1.7,2.4,3.7,1.9
11,2.7,2.2,1.8,1.1,3,2.9,3,2.8,2,2.1,3.1,2.1
12,2.3,2.5,2.5,1.1,3.3,2.7,1.6,2.3,2.3,2.5,2.4,2.6
13,2.5,4,1.6,0.9,3.2,2.4,2.1,2.9,2.6,4,2.2,1.9
14,2.9,3.3,0.5,2.2,4.5,2.3,3.1,2.9,2.5,2.7,2.5,2.9
15,1.5,2.7,1.5,3.2,3.1,2,3.1,3.7,2.9,1.1,2.3,3.3
16,2.8,2.5,0.9,2.4,3.3,1.9,1,4.2,3.8,2.3,1.5,2.4
17,2.8,0.9,1.3,2.1,3.4,1.4,1.2,3.4,3.4,3.1,2.1,1.8
18,2.3,0.5,1.1,3.1,2.3,1.1,1.8,1.3,3.5,3.3,2.3,2
19,0.8,0.6,1.2,3.4,0.7,1,2.5,2.1,2.3,2.5,2.6,2.2
20,0.4,1.3,2,2.6,2.2,3,2.6,2.1,2.2,1.3,3.6,2.1
21,0.4,2.1,1.5,2.6,2.7,3,4.6,2.8,2,1.8,2.1,1.4
22,0.6,2.1,0.7,1.4,2,3.7,5.2,3.1,3.1,2.4,2.1,1.9
23,1.5,2.3,3.3,1.9,2.3,3.9,4,2.3,3.3,2.3,0.9,2.4
24,2,2,4,2.8,2.2,2.8,2.5,1.7,2.9,2,3.4,1.8
25,1,0.5,3.3,2.4,2.4,3.2,1.2,1.9,0.8,2,2.7,2.4
26,0.8,1.1,2.9,2.4,2.7,4.2,1.9,2.1,1.4,1.2,3.5,2
27,1.6,3.9,2.1,1.9,3.9,2.6,2.7,2.9,1.3,1.7,4.8,0.7
28,0.3,3.7,1.5,2.3,4.4,0.9,2.9,3.5,2,2.1,3.6,0.5
29,0.5,2.2,1.4,2.6,3.9,2.5,3.5,3.4,2.7,1.3,3.3,0.8
30,0.6,-999,1.4,1.9,3.1,2,3.7,2.8,3.1,0.6,2.9,2.1
31,1.1,-999,0.7,-999,2.3,-999,2.9,2,-999,0.4,-999,3
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,3.4,1.8,1.6,1.6,2.3,3.5,2.2,1.5,2.7,1.2,2.7,2.8
2,3.2,0.9,0.9,0.7,2.3,3.1,4.1,1.4,2.8,2.9,6.3,2
3,2.4,1.4,1.2,0.7,4,2.7,3.9,2.1,3,3.2,5.8,4.3
4,2,2.2,0.6,1.4,3.3,3.9,1.9,2.5,3.3,3.4,5,2.9
5,1.6,1.2,0.8,1.2,3.4,2.9,1.1,3,3.6,3.4,3.7,3.6
6,1.6,2.5,3.3,3.9,2.1,3.5,1.6,2.9,3.5,4.6,4,3.3
7,2.6,2,3.3,2.7,1.8,4.9,2.3,2.3,3.9,4.7,3.8,2.4
8,2.4,1.6,1.6,2.1,1.1,6.7,3.3,3.8,4.3,4.8,2.8,2.1
9,4.3,1.9,2.3,1.5,0.8,6.1,2.9,4,4.7,3.7,3.1,1.8
10,4.2,2,2.5,1.8,1.2,5.5,2.9,3.8,4.3,2.8,3.2,2
11,3.5,2.7,0.8,1.2,1.5,3.9,3.5,2.6,2.9,2.9,4.1,3.3
12,3.6,2.2,0.2,1.9,2.7,3.3,2.4,3,1.3,4,3.2,2.4
13,3.8,2.8,1.4,2.2,2.1,4.1,0.8,2.1,2,3.2,6,2.7
14,3.7,2.9,4.8,2.2,1.6,3.6,2.1,1.3,2.8,2.6,4.8,2.5
15,3.8,2.7,3.5,1.5,2,3.4,2.8,2.5,3,0.8,2,2
16,2.7,2.9,1.7,2.2,1.6,1.1,2.3,3.3,1.9,1,2,5
17,2.7,2.9,1.1,2,2,2.1,0.6,2.8,1.7,2.4,5.8,3.3
18,1,2.5,0.9,1.6,1.2,2.6,2,3.7,3.7,3.3,5.7,3.5
19,2.1,2.2,1.2,2.8,1.8,4.8,2.8,3.3,4.4,2.7,5.4,3
20,1.5,1.9,0.7,3.6,2.3,5.2,1.8,3.1,4.4,2.4,4.5,3.3
21,1.9,1.2,2,3.8,2.5,5.2,1.8,3.3,2.2,1.9,6.3,2.3
22,4.1,0.3,1.9,3.7,2.7,5.7,2.7,2.1,3.1,2.2,4.9,3.2
23,1,0.8,2.5,2.1,3.3,3.4,3,2.6,3.6,2.9,3.8,2.1
24,2.7,1.6,0.8,2.7,3.7,3.5,2.7,3.5,3.3,3.4,3.6,1.9
25,1.9,1.2,1.1,2.7,3.9,3.5,3.1,3,1.9,2.6,1.8,2
26,1,1,0.9,4.7,3.4,1.8,2.4,4.3,1.6,2.8,2.1,1.5
27,2.4,1.5,2.3,3,3.9,2.1,5,4.3,3.7,2.5,2.3,2.5
28,1.2,1.2,2.7,1.4,3,3.6,2.5,3.7,5.9,3.2,2.3,4.6
29,1.2,-999,3.1,0.7,1.7,4.3,1,3.9,5.3,1.9,2.7,1.7
30,1.8,-999,2.6,1.2,3.1,4,1.8,2.4,2.3,2.1,2.5,0.5
31,2.3,-999,1.8,-999,3.6,-999,2.2,2.8,-999,2.1,-999,0.5
2010,1,2,3,4,5,6,7,8,9,10,11,12
1,0.7,2.4,1.6,1.4,2,3.9,3,4.1,3.6,1.7,3.7,2.3
2,0.8,2.4,2.1,1.2,0.9,3.9,4.2,2.5,3.6,2.8,3.7,2.3
3,1.6,1.9,2.4,0.7,1.9,4.7,4.3,3,3.9,6.2,3.7,3.1
4,1.5,1.9,2.4,0.3,2.7,4.7,6.3,2.4,3.7,5.2,3.5,2.8
5,1.3,1.2,2.4,0.5,2.3,4.5,7.8,3.3,2.9,3.7,3,1.7
6,1.7,1.8,2.4,0.8,2.7,3.5,6.8,3.5,2.1,4.7,3.5,1.2
7,1.3,2.8,3.8,0.8,2.1,3.3,7.3,3.5,3.4,3.8,3.2,2.7
8,2.4,2.8,1.5,1.8,2.6,3.4,5.7,2.7,2.8,4.9,3.1,4.5
9,1.4,2.9,3.5,1.7,2.8,4.1,5,2.1,3.7,3.5,3.7,3.2
10,1.1,3.4,4.1,1,3,3.9,5.8,2.6,3.2,2.9,3.3,2.8
11,2.1,4,3.9,1.2,1.5,3.2,4.9,2.4,2.3,2.5,3.2,0.8
12,3.7,3.8,2,1.6,2.7,2.5,4.6,1.8,2,2.5,4.3,1.4
13,2.8,1.9,1,1.6,3.2,3.7,2.6,2.9,2.1,2,4.1,1.3
14,3.9,0.8,0.6,0.7,2.8,6,2.5,2.9,1.3,2.3,2.6,0.8
15,2.3,1.5,0.7,1.5,2.1,5.3,3.7,2.6,1.7,2.8,2.8,0.4
16,1.4,2.2,2,2,3,6.7,3.7,2.6,2.2,1.8,2.5,2.2
17,2.5,2.3,2,1.1,2.7,7.7,3.7,1.9,2.4,0.8,3.2,3.4
