,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,,0.2,,2.6,15.8,0,8,42.6,,0.6,128.2,
2,,5.7,,1.4,,6.4,0.3,0.2,,,88.1,
3,,,,0.3,0.7,0.1,0.3,16.5,0,,5,
4,,0,,1,,0,,41.7,53.6,,19.7,0
5,,0,,0.8,17.1,1.4,,5.1,20.7,53.3,0.4,
6,,,,,4.1,0,22.7,0,9.9,,0.9,
7,,,0,,,7.8,5.2,18,10.7,,8.9,
8,,,,,0,0.3,23.1,70.8,,,7.4,
9,,,0,,3.1,1.1,0.5,0.1,,0,,
10,,,0,0,9,0.1,2.2,40.5,,,,
11,,,,0,0,,0.3,,0.8,31.1,,
12,,,0,0,,0.4,26,0.2,13.7,,,
13,,,0,6.1,,0.7,,1.5,,0,,0
14,0,0,0.4,1.6,,19.5,1.6,,,1.4,,
15,0,0,0.2,13.2,,21.6,0,,,1.5,,
16,0,,0.7,0,,1.8,95.3,,,0.1,0,
17,,1.8,0.5,,,0,26.9,,,,0,
18,,2.1,3.7,,12.6,67.3,135.6,25.7,,0,,
19,0.7,0,0,,102.9,19.6,7.1,0,0.1,2.9,0,
20,0,,0,,0.2,22.3,2.2,12.3,3.2,0.2,,
21,2.6,,0,0.1,,0,0.1,,3.4,0,,
22,0.7,,6.9,93.4,,,,,,0,,0
23,0,,0.1,0.3,,,,,,0,0.1,
24,0,0,,0.1,0,21,0,2.3,1.3,0,,
25,13,1,0,0,0.2,,43,6.4,47.8,0,,0
26,0,0.8,0,,0.2,0,0.4,,4.1,17.6,,0
27,0,0,0,0,,20.7,,0,24.5,0.1,,7.9
28,0.9,0,0.6,0.1,,22.2,5.2,,1.1,,,3.2
29,1.5,2.3,0.1,,,,0.4,,0,4.5,,0.3
30,1,-999,0.4,0.6,3.8,0,,,4.5,8.7,,0
31,6.2,-999,6.6,-999,14.3,-999,17.1,20.6,-999,347,-999,
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,,,0.5,1.7,0.3,,0.1,28.7,1.2,5.3,,
2,,1.1,0.4,14.9,0.1,26.1,0,0,,0,,
3,,0,0,0.9,,6,0,,,,,
4,,2.4,2.1,0,,,12.1,,,,,
5,,0,1.8,9.7,,0,29,15.7,,,,
6,,,,,0,0,5.3,0,0,,,
7,,,,0,3.2,0,13.8,6.4,,,,
8,,,0.7,0,80.6,,0.5,0,0,,,0
9,,,1.1,0.5,8.7,,,,0,,,0
10,,,,,0,,,2.1,,0,,
11,,,0.4,3.4,11,0.1,,0,1.4,,,
12,,,2.2,0.1,0,18.7,26.1,0,24.7,,,
13,,,3.1,0,0.4,0.3,95.6,26.8,14.4,0,0,
14,,,,25.2,38.8,3.8,,17.3,,3.4,,
15,,,,0,16,28.3,,17.1,,10.1,0,
16,,,,0,4.9,40.3,23.5,43.1,34.9,0.4,1.2,0.2
17,,,,0,8.4,9.1,119.2,8.6,4,,,0.2
18,0,0,,0.1,17.1,,0,,,,,
19,,0,0,,1.6,2.9,,,,,,
20,0,1.5,1.5,0.3,1.9,,94.1,20.4,,40.9,,
21,,0.5,0,,2.3,,3.2,,30.5,3.6,,0.3
22,,0.6,0,,0,0,,20.7,0,1.9,,
23,1.8,0.3,0,0.1,,40.4,,,,,,
24,0.7,,0.6,0,,,,,0,,,
25,,0.5,29.4,4.9,,0,9,,38.9,0,,0
26,0.8,0.4,1,,,9.2,18.3,,0.1,,,0
27,,0.3,2.2,,0,0.1,,,,0.1,0,
28,0,0.4,0.3,0.3,,,2.2,,,,,0
29,1.6,-999,0,11,33.7,5.8,52.3,,0,13.1,,0
30,,-999,0.8,1.2,0,51.3,19.8,0,4.5,,,1.1
31,,-999,1,-999,,-999,26.4,8.8,-999,,-999,1.8
2010,1,2,3,4,5,6,7,8,9,10,11,12
1,1.3,,0.2,1.8,,0,0.4,,,0,,
2,0.7,,,2.7,20.1,2.4,,11.4,0,,,
3,,,,0.9,,,,7.7,,,,
4,,0,,1.5,,,,0,,0,,
5,,0,,2.2,0,,,0,,3.6,,
6,0.2,0.1,,0.6,0,,,,,0,,0
7,2.7,0,,3,,55.6,,36.4,2.3,0,,0
8,0.3,,1.5,0.6,0,3.7,24.1,,4.1,,,
9,,,0,,0,,0.1,0.2,,,,
10,0,,,0,23.9,,0.3,0,,,,
11,0,,,0,2.5,0.6,25.5,1,0,0.3,0,4.7
12,0,0,,0,,0.7,,4.5,,0,,0
13,,0,0.3,0,,32.2,121.8,5.5,2.2,2.3,,0
14,,1.3,0,4.1,0,,6.8,,18.5,0.1,,1.4
15,,0.4,0.6,1.2,30.8,,0,15,16.2,2.8,,0.9
16,8.5,,0.8,0,,,,0.9,,9.3,,1.4
17,,0.5,,0,,,1.3,0.1,0,4.4,,
18,,,0.2,0,4.8,,49.2,0.8,,2.1,,
19,,5.4,,4,0,,0,,,0,,
20,0.2,,,0.3,,,,0.1,,,,0.8
21,27,0,0,12.2,12.2,56.5,0.1,3.7,,,,1.1
22,27.8,0.3,0.1,6.8,,10.8,5.3,5.1,7.9,,0,
23,10.1,0.1,1,10.9,0,,6.6,13,13.9,,0.1,
24,,0,,,0.5,,0.1,22.3,0,,0.5,0
25,0.2,,0.6,0,,,32.1,20.3,66.1,,0,1
26,0,,,0,0,0.2,0,0.2,6.5,,0,
27,0.7,,,0,13,0,4.2,50.7,0,,,
28,1.2,,,1.7,0,,2.5,74,27.5,,,
29,,-999,,1.1,41.9,11.9,,1.5,6.6,,0,0.3
30,,-999,0.5,0,0,0.8,,,0,,,0
31,,-999,0,-999,0,-999,,,-999,,-999,
2011,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.5,,,0.2,,0,39.8,,12,,43.6
2,1.5,,0,0,0.2,0,0,55.8,,,,0
3,,,0.4,0,3.3,0,14.2,0.4,0.8,,,
4,0.3,,1.6,,1.5,0,2.2,,6.6,0,,
5,0,,0.2,0,4.7,13.5,,,43.1,25,,
6,2.4,0,0.8,0.4,1.7,40.4,,17.3,,10.9,,0
7,,0,3.7,3.5,0,1.2,,,,7.8,12,2.8
8,,,,1.1,,3,15.9,53.9,15.4,29.1,17,5.1
9,0.2,,0,,0,2.8,1.2,34.4,1.3,2.8,0,
10,,,,,,,29.6,4.3,5.9,,,
11,2.9,,1.6,,36.5,0.2,0.3,21.7,1.4,14,,
12,,1.9,0,,0.8,,0,2.5,25.7,27.8,,
13,,1.7,,,43.5,0.2,0,9.3,1.8,9.8,,
14,0,1.7,,,0.3,12.3,39.9,,7.9,20.7,,
15,0.5,1.3,16.9,0,2.3,1.5,2.5,0,20.8,0.1,,0
16,,2.2,14.6,0.4,13.1,12.1,1,,,,,
17,,3.3,30.3,0,,30.4,,8,,,,
18,0,,26.5,1.3,,44.9,5.6,0.2,0,,,
19,,0.6,,,,4.9,0.2,22.3,22,,,
20,0.4,0.6,0,,2.8,12.7,,27.4,51.5,0,,
21,0,0,0.3,,,0,6.8,2.2,0.5,,,
22,,0.4,0.7,0.7,0,,,,0,,0.3,
23,0,2.3,0,,37.7,2.5,27.3,10.6,,,1,
