,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,,4.6,,1.4,1.3,0.2,,7.4,,2.4,90,
2,,10.1,,5.3,,0,,51.5,0,,85.3,
3,,,,0.2,0.6,,33.6,,,,16.4,
4,,,,0.8,5.4,,,,7.1,,5.7,
5,,1.1,,2.4,35.9,21.3,,,7.4,38.3,,
6,,,,0,2.8,,23,,1.8,,,
7,,,,,1,13.6,,33.1,0.5,,27.6,
8,,,,,0.3,0.2,15.5,71.9,,,1.2,
9,,,,,9.8,,,13.9,22.1,,,
10,,,,,19.8,0.3,0.4,22.5,15.5,,,
11,,,,0,,0.3,1.3,,2,2.1,,
12,,,4.1,0.4,,,15.1,,61.3,,,
13,,,,1.9,,12.4,,,4.4,,,
14,,0.3,0.8,5.2,,16.9,3.6,,1.2,1.8,,
15,1.3,,,23.7,,25.9,0,,,5,,
16,0.3,,0.2,,,,25.9,,1.2,,,
17,,,1.2,,,,36.1,,,,,
18,,3.2,0.2,,38.6,12.5,21.7,0.4,,,,
19,0.7,3.4,1.6,,28.7,0.4,0.1,,,,,
20,,0.1,,,0.3,12.3,11.6,30.6,4.5,7.6,,
21,2.1,,,,,3.2,0.1,0.1,0,8.4,,
22,3,,0.5,2.9,,4.4,,,,,,2.8
23,1,,1.8,1.9,10.5,,,,,20.8,,
24,0.4,,,0.2,3.5,0.3,3.2,2.4,0.5,4.4,,
25,12.5,,,,3.4,,5.8,2.5,21.2,,,0.1
26,,3.4,,,1.4,,,,11.7,48,,
27,,,0.8,,,11.3,,,48.6,30,,5.9
28,1.8,0.5,0.2,,,95.7,0.1,,1.1,,,0.1
29,2.5,2.7,0.5,,,,5,0,,6.5,,1.9
30,5.2,-999,,0,48.4,,,,5.6,9.9,,
31,4.8,-999,4,-999,6.2,-999,,23.1,-999,215,-999,
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,,,1,0.3,,,,40,,2.6,,
2,,0.7,0.4,22.3,,12.8,0.4,0.6,,,,
3,,,0.2,0.5,,24,,,,,,
4,,1.1,2.9,,,,10.9,,,,,
5,,,1.1,15.4,,0.3,21.6,30.9,0.2,,,
6,,,0.2,0.1,,0.9,6.9,17.6,,,,
7,,,,4.1,7.8,,13.2,5.1,,,,
8,,,0.4,,31.1,,30,,,,,0
9,0.6,,2.1,,15.8,,1.5,,,,,0
10,,,,,0.2,,,,,0.3,,
11,,,,7.3,38.5,,,19.4,4.4,,,
12,,,0.5,0.4,0.2,1.5,67.2,,24,,,
13,,,5.3,0,0.3,27.8,104,,6.4,,3.7,
14,,,0.1,13.9,6.7,,,100,,9.3,,
15,,,,0.1,18,1.7,,5.1,,30.6,0.6,
16,,,,,2.7,17.3,2.4,1.9,2.2,0.9,2.6,
17,,,,,17.4,,52.9,24.5,0.9,,,0.1
18,,,0.1,,3.2,0.2,3.4,,,,,
19,,,,,0.3,,,,,,,
20,,,1.6,4.8,5.2,,61.3,,,15.1,,
21,,,,,1.2,,,,6.8,6.1,,1.1
22,,0.4,,,,,,14.5,15.6,1.8,,
23,7.1,1.1,0.3,,,52.1,,,,,,
24,,,0.3,,,,,,,,,
25,,,0.3,12.1,,,3.9,,40.7,,,
26,4.7,0.1,0.9,,,1.5,4.6,,3,,,
27,,,33.3,,,0.1,,,,,,
28,,,1,2.5,,,4,,,,,
29,4.7,-999,,6.2,25.8,9.5,1.2,17.9,,4.3,,
30,,-999,0,5.7,,,2.5,21.1,4.9,,,0.6
31,,-999,0,-999,,-999,7,,-999,,-999,2
2010,1,2,3,4,5,6,7,8,9,10,11,12
1,0.8,,,1.5,,25.8,0,0.1,,2.9,,
