date,Q - HN,Q - ST,Q - TC
1/1/2008,564.0,1080.0,538.0
2/1/2008,549.0,1020.0,525.0
3/1/2008,657.0,1290.0,590.0
4/1/2008,785.0,1400.0,671.0
5/1/2008,851.0,1600.0,720.0
6/1/2008,957.0,1880.0,797.0
7/1/2008,911.0,1300.0,745.0
8/1/2008,849.0,1610.0,723.0
9/1/2008,965.0,1780.0,812.0
10/1/2008,1030.0,1810.0,831.0
11/1/2008,977.0,1580.0,806.0
12/1/2008,913.0,1580.0,760.0
13/1/2008,908.0,1540.0,741.0
14/1/2008,795.0,1190.0,657.0
15/1/2008,721.0,1310.0,618.0
16/1/2008,758.0,1490.0,653.0
17/1/2008,788.0,1480.0,680.0
18/1/2008,893.0,1780.0,737.0
19/1/2008,1160.0,2140.0,935.0
20/1/2008,1310.0,2380.0,1040.0
21/1/2008,1390.0,2400.0,1100.0
22/1/2008,1330.0,2230.0,1070.0
23/1/2008,1240.0,2170.0,1000.0
24/1/2008,1180.0,1980.0,952.0
25/1/2008,1080.0,1860.0,878.0
26/1/2008,1100.0,2040.0,889.0
27/1/2008,1200.0,2200.0,958.0
28/1/2008,1060.0,1750.0,869.0
29/1/2008,779.0,1310.0,669.0
30/1/2008,647.0,1230.0,577.0
31/1/2008,695.0,1440.0,613.0
1/2/2008,847.0,1620.0,705.0
2/2/2008,1010.0,1900.0,817.0
3/2/2008,1140.0,2200.0,910.0
4/2/2008,1360.0,2550.0,1060.0
5/2/2008,1380.0,2200.0,1080.0
6/2/2008,1140.0,1790.0,916.0
7/2/2008,982.0,1550.0,797.0
8/2/2008,886.0,1290.0,730.0
9/2/2008,712.0,1040.0,602.0
10/2/2008,636.0,919.0,543.0
11/2/2008,549.0,777.0,489.0
12/2/2008,407.0,730.0,437.0
13/2/2008,429.0,887.0,445.0
14/2/2008,538.0,974.0,493.0
15/2/2008,596.0,990.0,524.0
16/2/2008,664.0,1050.0,564.0
17/2/2008,701.0,1060.0,581.0
18/2/2008,663.0,937.0,567.0
19/2/2008,681.0,1190.0,574.0
20/2/2008,822.0,1500.0,683.0
21/2/2008,940.0,1620.0,762.0
22/2/2008,890.0,1480.0,730.0
23/2/2008,789.0,1370.0,658.0
24/2/2008,726.0,1270.0,609.0
25/2/2008,667.0,1070.0,563.0
26/2/2008,673.0,1240.0,568.0
27/2/2008,800.0,1660.0,648.0
28/2/2008,1150.0,2320.0,902.0
