,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,564,847,1140,664,918,1570,4040,6020,4710,4160,4770,1590
2,549,1010,923,718,766,1370,4030,5250,5070,3810,5240,1630
3,657,1140,934,760,738,1420,4540,4890,4690,3610,5510,1690
4,785,1360,1030,788,810,1990,4400,4660,4580,3460,8180,1690
5,851,1380,1110,862,863,2310,5010,4650,4940,3400,9590,1670
6,957,1140,1070,881,1660,2170,6010,4840,5380,3660,8640,1580
7,911,982,917,815,2030,2090,7350,5270,5130,4100,7260,1570
8,849,886,817,785,2200,2030,8450,5870,4640,3820,7150,1350
9,965,712,707,894,2200,1980,8160,7490,4340,3330,6760,1210
10,1030,636,551,933,2130,2160,7000,9710,4480,3070,5580,1250
11,977,549,530,935,2160,2360,5850,10600,4540,2980,4840,1350
12,913,407,687,918,2100,2310,5510,10200,4520,2890,4320,1420
13,908,429,785,879,2030,2420,5480,9560,4060,2640,3970,1360
14,795,538,813,819,1980,2650,5460,8480,3470,2280,3640,1300
15,721,596,888,844,1800,3110,5450,8070,3220,2210,3390,1240
16,758,664,976,961,1500,3160,5450,7870,3010,2210,3260,1260
17,788,701,1060,880,1410,3010,5750,7010,2920,2250,3220,1180
18,893,663,1040,833,1370,3030,6550,5880,2840,2230,3090,1060
19,1160,681,954,823,1410,3800,7140,4870,2770,2180,2850,987
20,1310,822,841,821,1570,5040,7150,4240,2730,2010,2520,953
21,1390,940,865,788,1910,4960,7070,3940,2710,1950,2370,899
22,1330,890,838,825,2070,4760,7010,3750,2620,1930,2310,817
23,1240,789,755,875,1980,3990,6520,3630,2560,1880,2110,849
24,1180,726,695,851,1710,3390,5890,3510,2680,2050,2050,934
25,1080,667,755,867,1540,3130,6530,3350,2780,2720,2120,1040
26,1100,673,777,973,1290,3020,8070,3310,3440,2800,2180,1070
27,1200,800,780,1040,1380,2900,8890,3580,5090,2400,1970,1030
28,1060,1150,780,921,1580,3310,8630,4070,6580,2420,1720,1090
29,779,1340,728,879,1630,4300,7610,4470,6260,2690,1580,1070
30,647,,720,988,1690,4350,6980,4730,5180,2870,1590,1040
31,695,,674,,1730,,6740,4460,,3220,,997
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,1050,701,973,998,1190,3260,2710,5630,2820,2040,941,759
2,1020,928,900,976,1190,2890,2740,5750,2740,1760,813,794
