,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,1080,1620,1890,1090,1390,2510,5900,7990,7260,6310,7620,2790
2,1020,1900,1550,1170,1140,2190,6080,7230,7410,5780,7600,2830
3,1290,2200,1690,1210,1330,2530,6440,6820,6620,5460,8280,2910
4,1400,2550,1880,1420,1500,3370,6250,6600,6690,5160,12500,2950
5,1600,2200,2000,1570,1710,3390,7180,6870,7290,5160,13900,2870
6,1880,1790,1740,1550,2870,3110,8080,7120,7580,5830,11800,2780
7,1300,1550,1440,1300,3270,2970,9340,7910,7380,6200,9990,2740
8,1610,1290,1300,1430,3600,2970,10200,8720,6810,5560,10100,2350
9,1780,1040,1060,1570,3650,2890,9890,11400,6620,5070,9340,2320
10,1810,919,805,1570,3540,3480,8640,13700,7000,4860,8020,2390
11,1580,777,1000,1550,3540,3570,7660,14400,6960,4710,7190,2470
12,1580,730,1220,1390,3330,3600,7390,13800,6850,4580,6640,2370
13,1540,887,1340,1250,3300,3840,7370,12900,5910,3950,6090,2230
14,1190,974,1390,1020,3230,4200,7350,11800,5360,3700,5670,2140
15,1310,990,1480,1430,2820,4720,7370,11400,5060,3550,5280,1990
16,1490,1050,1700,1480,2570,4550,7440,11000,4780,3590,5160,1930
17,1480,1060,1770,1440,2450,4390,7920,9690,4720,3590,5080,1920
18,1780,937,1650,1430,2390,4590,9110,8080,4600,3510,4850,1840
19,2140,1190,1380,1520,2340,5680,9960,6900,4470,3260,4430,1870
20,2380,1500,1380,1460,2830,6630,10100,6180,4390,3000,3990,1830
21,2400,1620,1470,1240,3320,6750,10100,5820,4300,2990,3940,1710
22,2230,1480,1450,1480,3440,6620,10000,5550,3980,2960,3820,1520
23,2170,1370,1380,1530,3090,6020,9230,5400,4110,3100,3570,1600
24,1980,1270,1280,1430,2700,5380,8540,5210,4260,3540,3600,1700
25,1860,1070,1320,1550,2370,5200,9460,4990,4410,4730,3740,1910
26,2040,1240,1330,1720,1980,5000,11500,5010,6020,4600,3570,1820
27,2200,1660,1360,1780,2400,4820,12200,5580,8570,4220,3050,1780
28,1750,2320,1230,1350,2610,5350,11200,6250,9900,4430,2770,1830
29,1310,2420,1120,1600,2710,6260,9860,6800,9010,4700,2700,1790
30,1230,,1100,1680,2850,6190,9320,7090,7430,4760,2750,1800
31,1440,,919,,2830,,9050,6620,,5260,,1770
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,1810,1040,1460,1320,1580,5290,4050,8250,4670,2890,1480,1170
2,1710,1780,1290,1330,1690,4620,4710,8290,4390,2590,1360,1210
3,1760,2310,1310,1460,1590,4750,5360,8160,3850,2650,1510,1350
4,1760,2430,1330,1530,1530,5680,5370,7990,3710,2520,1740,1440
5,1710,2600,1300,1470,2050,5810,7230,7710,3750,2220,1760,1340
6,1700,2720,1290,1500,2640,5490,10900,7660,3840,2310,1770,1360
7,1860,2460,1180,1740,3120,5140,11500,7820,3770,2360,1560,1190
8,1970,2290,1050,1820,3370,4880,10900,7890,3880,2250,1440,1240
9,1960,2390,899,1700,3710,4480,10400,7010,3600,2250,1580,1360
10,1750,2680,1120,1760,4280,4100,10100,5920,3310,2070,1620,1300
11,1590,2670,1370,1750,3610,3980,9670,5350,3280,2020,1720,1220
12,1520,2040,1380,1690,3370,3520,8890,5070,3310,2000,1680,1180
13,1620,1540,1380,1540,4030,3390,8560,4980,3330,2360,1700,1000
14,1670,1440,1360,1980,4320,3100,8690,4850,3460,2510,1490,866
15,1610,1350,1070,2170,3890,2870,8690,4610,3840,2490,1180,899
16,1660,1170,885,2040,4940,3380,8340,4710,3660,2290,1000,1040
17,1750,1360,1050,1980,6370,3960,8110,5170,3450,2150,992,1300
18,1840,1550,1220,1920,6510,4380,8100,5680,3450,2020,1300,1210
19,2240,2030,1420,1890,6310,4170,8060,5840,3720,2010,1380,1110
20,2460,2410,1470,1860,5630,4020,7920,5590,3660,2300,1340,981
21,2380,2130,1590,1920,5130,3440,8040,5290,3580,2500,1420,866
22,2210,1970,1590,1950,4790,3150,7510,5060,4110,2390,1310,1050
23,2370,1610,1340,1870,4680,3490,7020,5200,3810,2160,1150,1100
24,2350,1500,1480,1780,4530,3760,6310,4920,3350,1960,1190,1060
25,2140,1440,1590,1810,4630,3720,5920,4880,2970,1790,1300,1040
26,1920,1440,1550,1710,4230,3620,5770,4830,2730,1580,1320,998
27,1880,1470,1630,1460,3820,3790,5860,4760,2960,1630,1290,910
28,1730,1540,1620,1430,4050,4040,5770,4880,3160,1720,1300,795
29,1670,,1550,1560,4660,4280,6520,5000,3300,1890,1250,775
30,1440,,1340,1590,5780,4420,7170,4840,3410,1820,1060,795
31,1110,,1410,,5960,,7980,4840,,1640,,855
2010,1,2,3,4,5,6,7,8,9,10,11,12
1,890,2340,667,768,1550,2780,3240,5450,5530,4510,1710,1470
2,828,2590,753,818,1340,2920,3580,5380,5110,4310,1590,1630
3,755,2390,952,883,1450,2990,3980,5590,4320,3910,1780,1630
4,700,1740,1030,793,1880,3030,3920,5750,4250,3290,1850,1570
5,683,1430,1110,701,2450,2800,3640,5860,4240,3030,1690,1470
6,723,1600,1120,813,2670,2290,3780,5790,3890,3040,1780,1280
7,750,2040,951,971,2910,2110,3790,5640,4020,2980,1600,1440
8,715,2400,756,873,2970,2400,3720,5320,4280,2850,1310,1580
9,700,2440,706,773,2720,2700,3690,5040,4370,2760,1290,1620
10,695,2390,723,734,2440,2580,3560,4950,4400,2660,1630,1500
11,715,2060,713,662,2110,2520,3620,4940,4410,2360,1710,1480
12,780,1220,723,603,1900,2810,3480,4980,5050,2170,1650,1370
13,805,713,738,682,1860,2950,3410,5140,4400,3050,1540,1120
14,845,573,765,766,1840,2910,3390,5210,4240,3340,1460,1530
15,868,614,735,818,1980,2990,3690,5220,4580,3090,1180,2220
16,888,553,825,828,1880,2940,3700,5250,5250,2980,1370,2310
17,828,529,868,749,2000,2910,3840,5610,5750,2710,1420,2500
18,755,523,830,688,2350,3150,3290,5530,5360,2330,1430,2440
19,760,493,885,691,2560,3060,2740,5480,4700,2830,1490,2140
20,775,495,835,861,2540,2890,3590,6300,3930,3290,1480,1760
21,770,521,795,1020,2580,2680,5220,6480,4260,3160,1410,1710
22,848,583,715,1170,2450,2370,5610,5910,4610,2950,1250,1720
23,1050,655,765,1500,2240,2530,6930,5480,4740,2730,1430,1720
24,1510,683,907,1200,1670,2330,8080,5500,4700,2690,1580,1840
25,2090,1200,1280,906,1700,2210,8470,5620,4700,2460,1520,1850
26,2260,1840,1660,922,1720,2260,9170,6670,4360,2320,1490,1650
27,2430,1300,1660,1080,1670,2270,8250,8950,4090,2430,1440,1280
28,2370,838,1090,1360,2020,2650,6890,8620,4170,2570,1270,1390
29,2300,,705,1600,2410,2780,6170,8420,5090,2580,1140,1470
30,2230,,721,1670,2440,3080,6370,7310,4790,2190,1230,1470
31,2250,,799,,2500,,6240,6340,,2170,,1370
2011,1,2,3,4,5,6,7,8,9,10,11,12
1,1300,2390,767,1130,1610,2650,3960,4400,3010,1960,2550,1540
2,1000,1760,705,1060,1250,2820,4430,5390,2870,1940,2540,1800
3,885,981,678,1060,1270,2940,5810,5540,1940,1940,2310,2040
4,1190,745,682,864,1640,3120,6300,4980,1530,1920,2000,1940
5,1370,637,630,806,2240,3310,6060,4430,1610,1840,1820,1550
6,1540,589,637,993,2570,2770,5860,4010,2490,1700,1980,1310
7,1630,568,631,1190,2740,2270,5600,4250,2920,1740,1930,1230
8,1770,567,621,1430,2500,2540,5280,4020,2620,1880,1900,1180
9,1850,560,754,1290,2240,2940,5070,4210,2630,2080,1720,1130
10,1610,560,774,1310,2400,2920,4970,4160,2640,1920,1600,1110
11,1560,555,763,1210,2460,2950,4760,4160,2600,1860,1610,1170
12,1550,1160,756,1150,2420,3260,4930,4020,2640,1840,1460,1080
13,1560,2110,695,1010,2670,3220,5390,3810,2930,1630,1420,1080
14,1730,2470,702,979,2690,3990,5390,3480,3490,1570,1380,1120
15,1800,2190,672,1230,3020,4460,5170,3010,3740,1700,1370,1070
16,1560,2120,845,1680,2870,4570,5070,3160,3570,1850,1320,996
17,1180,2460,1040,1760,3490,4490,4830,3530,3380,1590,1380,1040
18,1260,2450,1400,1390,4250,4660,4270,3430,2700,1450,1450,1030
19,1290,1970,1970,1420,4350,4230,4470,3170,2060,1480,1480,970
20,1370,1740,2090,1770,3780,3590,4310,3130,2290,1430,1450,956
21,1480,1120,1640,1920,3440,3870,4630,3300,3370,1390,1300,966
22,1550,788,1340,1960,3450,3930,4770,3510,3520,1370,1270,979
23,1420,764,1370,1660,3300,3650,4590,3420,3180,1400,1440,958
24,1190,821,1300,1640,3500,3220,4980,3580,2670,1380,1460,943
25,1540,980,1230,1330,3880,3170,5910,4480,2270,1460,1490,990
26,2170,1040,1160,1510,3880,3890,5600,4200,1980,1520,1550,908
27,2340,946,1140,1820,3800,4960,5340,3600,2010,1390,1350,940
28,2260,885,989,1920,3740,5400,5200,2730,2090,1550,1250,968
29,2150,,955,2060,3390,4690,5270,2140,2120,1920,1290,1020
30,2480,,1050,2010,2780,4240,5120,2070,2100,2480,1340,1000
31,2510,,1180,,2560,,4560,2610,,2360,,1030
2012,1,2,3,4,5,6,7,8,9,10,11,12
1,950,2440,852,961,1980,4730,3880,14800,3970,4840,1610,1530
2,816,2650,890,672,1860,3990,3910,13600,3980,4590,1420,1710
3,750,2860,928,913,1900,3700,4260,11600,3650,4400,1440,1650
4,804,2770,949,1330,2300,3640,4310,9990,4040,4270,1290,1800
5,897,2710,845,1430,2450,3870,4200,9000,3910,4270,1190,1990
6,935,2640,1040,1480,2840,4560,3890,8560,3230,4530,1400,2050
7,1070,2510,1230,1590,2740,4410,3860,8660,2910,4260,1670,2150
8,1200,2440,1370,1780,2650,4020,4300,9320,3970,3580,1780,2070
9,1110,2640,1310,1590,3120,3970,4670,9630,4150,3280,1780,1910
10,1020,2090,1320,1570,3210,4270,5560,11000,3620,3160,1630,1690
11,888,1040,1570,1810,3310,3900,6100,11200,3260,3180,1480,1860
12,772,619,1650,1970,3340,3780,5790,10700,3170,3090,1370,1990
13,693,531,1640,2020,3260,3770,5630,10200,3030,3220,1360,1780
14,654,537,1680,2130,3070,3660,5970,9460,2950,3210,1320,1780
15,1140,536,1630,1970,3200,3940,5620,8700,3270,3210,1300,1700
16,1740,547,1400,1940,3320,4060,4840,8600,3070,3340,1270,1380
17,2390,601,915,2040,3220,4080,4560,8620,2750,3420,1260,1150
18,2500,753,946,2260,3240,3610,4490,9590,2980,3220,1340,1150
19,2570,703,1200,2270,3310,3500,4250,12500,3010,3590,1580,1490
20,2510,615,1240,2180,3210,3290,4310,12400,3120,3440,1930,1490
21,2180,616,877,2180,3440,3050,5520,10400,3410,2960,2000,1520
22,1860,609,766,2130,3850,3010,5920,9170,3300,2770,2110,1470
23,1490,605,651,1940,4050,3220,5650,9190,3390,2710,2030,1520
24,1060,639,937,2090,3850,3350,5830,8660,3160,2460,1800,1340
25,804,737,949,2320,4080,2980,5950,7930,3710,1980,1490,1380
26,718,783,920,2110,5030,3260,6760,6880,5300,1670,1320,1620
27,695,722,1200,1780,5740,3610,10100,6030,5870,1400,1240,1790
28,813,850,1520,1810,4970,3990,11000,5820,6260,1560,1190,1880
29,1190,882,1660,2020,4690,3860,10700,5150,5790,1950,1290,1880
30,1950,,1540,2090,4440,3660,11800,4680,5190,1810,1500,1750
31,2380,,1490,,4790,,14100,4170,,1670,,1450
2013,1,2,3,4,5,6,7,8,9,10,11,12
1,1350,872,767,1370,1640,4400,4120,10400,7140,3270,1830,959
2,1070,1360,875,1330,1560,4030,4290,9610,6380,2990,2400,987
3,1280,2700,824,1360,2340,4260,4890,9460,4820,2920,2240,1150
4,1500,3410,703,1410,3030,4230,5020,11900,4680,2880,1990,1220
5,1680,3310,721,1540,2990,4020,5470,12800,6940,2860,1920,1280
6,1600,3100,910,1700,2500,4300,5940,12300,12500,2640,2000,1220
7,1470,3150,1090,1580,2510,4680,5480,10300,10400,2310,2270,1120
8,1510,3050,1320,1310,2690,4470,5060,9240,7510,2340,2140,1060
9,1620,2540,1210,1390,2860,4050,5170,10200,6150,2390,1950,974
10,1700,1370,1070,1480,2910,3980,5720,11400,6380,2360,1840,911
11,1750,1020,1140,1550,2720,4410,7090,10700,6070,2310,1690,852
12,1770,922,1310,1540,2450,5120,7080,10700,5490,2320,1980,806
13,1700,844,1260,1500,2270,5020,6960,10400,5960,2390,2140,942
14,1560,809,1150,1460,2540,4550,6460,9920,7000,2540,2190,1040
15,1670,719,1140,1570,2510,4090,6040,8110,6330,2610,2040,1200
16,1760,721,1280,1760,2710,3910,5930,6870,5360,2580,1810,1560
17,1660,1650,1260,1850,3210,3840,6540,6280,4570,2440,1640,4080
18,1670,2770,1200,1930,3470,3430,6840,6090,4340,2220,1320,4630
19,1380,3140,1220,2090,3280,2910,7510,6070,4670,2210,1090,4180
20,1040,3210,1440,2090,3130,3260,8680,6070,4420,2130,1090,3830
21,1120,3060,1620,1920,3270,3800,9140,6140,4700,1910,1040,3130
22,1380,2710,1450,2090,3480,3910,9250,6680,4680,1740,988,2540
23,2190,1520,1290,2060,3650,3950,9090,6840,4160,1740,974,1870
24,2710,933,1300,2390,3740,3410,8490,6470,4280,1810,952,1420
25,2760,759,1170,2520,3860,3470,7950,6300,4220,1780,892,1070
26,2730,653,1270,2480,3900,4390,7140,7670,3890,1800,859,962
27,2960,678,1470,2050,3640,4470,6710,8480,3660,1700,979,1000
28,3210,775,1530,1990,3750,4350,6840,7520,3620,1590,1010,1450
29,3160,,1640,1810,3980,4500,7620,6640,3320,1670,971,1430
30,2690,,1690,1630,3850,4350,10300,6080,3330,1660,1000,1010
31,1570,,1550,,4420,,11600,6200,,1730,,980
2014,1,2,3,4,5,6,7,8,9,10,11,12
1,1170,930,1080,1340,3070,2290,2820,4510,5090,4180,1660,1220
2,1230,775,1180,1290,2890,2220,3190,4200,4730,4100,1780,1120
3,1410,702,1110,1360,2910,2130,3580,4280,4550,3980.0,1770,1300
4,1390,665,1150,1440,3240,2180,3470,4500,4540,3560,2030,1460
5,1280,716,1140,1410,3180,2390,3240,4640,4350,3500,2110,1460
6,1210,1990,1110,1510,3140,2350,3370,4640,4270,3740,2020,1470
7,1150,2920,1140,1810,3190,2160,3310,4540,4110,3790,2180,1410
8,1160,3130,1220,2030,3180,2240,3100.0,4420,3930,3720,2860,1300
9,1090,3110,1310,2280,3210,2430,3410,4480,3930,3450,3420,1390
10,1230,3050,1200,2150,3190,2910,3460,4400,3870,3250,3110,1370
11,1370,2970,1120,2240,3170,3120,3640,4150,3980,3110,2920,1390
12,1980,2870,1230,2560,3070,3420,3690,4250,3990,2860,2880,1370
13,2560,2870,1250,2640,3050,3750,3550,4430,3990,2680,2870,1310
14,2790,2840,1370,2570,3100,3660,3610,5430,3860,2990.0,2760,1250
15,2960,2390,1370,2510,3020,3050,3740,5380,3790,3160,2660,1230
16,2950,1720,1440,2560,2920,2500,3810,4670,3850,3050,2510,1470
17,2860,993,1370,2630,2930,2710,3810,4310,3850,2930,2370,1450
18,2630,826,1320,2650,3060,2900,4070.0,4060,4170,2810,2410,1340
19,1740,871,1560,2640,3210,3170,4190,4040,5310,2780,2400,1300
20,978,911,1620,2610,3270,3590,4140,4250,5970,2490,2220,1290
21,786,1100,1690,2560,3240,3830,4900,4480,6060,2450,2130,1260
22,789,1270,1600,2540,3070,3580,6160,4500,6670,2570,1900,1190
23,1800,1340,1650,2530,3060,2900,6740,4210,6370,2530,1730,1210
24,2710,1100,1640,2610,2700,2830,6270.0,4110,5830,2290,1570,1140
25,3040,958.00,1580,2600,2360,2990,5760,4230.0,5360,2110,1550,1060
26,3110,1140,1630,2630,1780,2840,5350,4750.0,5040,1730,1640,973
27,3160,1180,1690,2560,1750,2810,5070,4680,4720.0,1700,1650,1090
28,3170,1070,1730,2790,2130,2760,4780,4380,4600,1980,1610,1050
29,3080,,1670,3010,2230,2930,4820,4350,4200,1900,1630,1020
30,2210,,1670,3170,2400,2590,4810,5390,4230,1730,1480,1060
31,1200,,1520,,2430,,4710,5660,,1680,,1060
2015,1,2,3,4,5,6,7,8,9,10,11,12
1,1150,3080,902,1620,2410,2800,2330,4590,4780,4160,2040,1690
2,1220,3070,851,2070,2230,2980,2730,5160,4300,4090,2000,2010
3,1510,3040,834,2190,2250,3340,2970,6320,3360,3960,2150,2270
4,1550,3040,791,2230,2320,3290,2970,7140,3340,3800,2190,2380
5,1370,3060,895,2290,2580,3300,2890,6840,3520,3730,2060,2420
6,1410,2310,939,2190,2770,3350,2280,6240,3900,3790,1930,2470
7,1430,1550,913,2320,2930,3230,2670,5760,4110,3710,1870,2770
8,1500,1170,829,2250,2970,2590,2980,5530,4500,3640,1800,2860
9,1660,929,845,2160,2950,2700,2960,5080,5060,3610,1640,2490
10,1890,955,880,2160,2920,2830,2750,4650,5450,3550,1740,2410
11,2310,1900,920,2290,2910,2820,2370,4430,5070,3380,1830,2400
12,2610,2840,964,2300,3110,2820,1900,4330,4520,3710,1970,2280
13,2470,3000,955,2330,3250,2620,1550,4290,3590,4260,2480,2210
14,2150,3020,1020,2610,3160,2330,1780,4360,3140,4190,2910,2240
15,1860,3040,1020,2680,3040,1980,2100,4310,3340,3920,3620,2360
16,1600,2380,921,2670,3250,2150,2080,4300,3340,3870,3860,2230
17,2370,1270,907,2530,3600,2470,1770,4140,3360,3900,3540,2130
18,2980,908,966,2530,3510,2410,1700,3960,3890,3780,3320,1990
19,3000,996,1110,2440,3540,2120,1670,3920,5040,3720,3210,2010
20,2970,1010,1350,2250,3770,1910,1330,4170,5080,3680,3200,1990
21,2990,912,1470,2220,3920,1870,1210,4650,4560,3660,3170,1630
22,3020,826,1440,2280,3970,1650,1300,4650,4570,3640,2700,1620
23,3020,707,1270,2320,4100,1790,1550,3860,4590,3510,2230,1580
24,2070,629,1190,2170,4050,2020,1630,3310,4700,3410,2230,1470
25,1160,584,1230,2140,3940,2110,1530,3170,4790,3320,2080,1480
26,894,571,1440,2410,4040,2370,1810,3050,4820,3190,2060,1570
27,811,670,1620,2330,3970,2640,2300,3180,4820,3180,2170,1370
28,1850,835,1620,1860,3730,2590,2610,3400,4610,3010,2130,1370
29,2880,,1530,1630,3560,2120,2820,3410,4450,2940,1880,1440
30,3120,,1380,2140,3570,2030,3410,3820,4280,2910,1580,1420
31,3140,,1370,,3380,,3950,4560,,2640,,1290
2016,1,2,3,4,5,6,7,8,9,10,11,12
1,1250,1930,1240,2790,2000,4520,3200,5310,4150,2660,1260,2040
2,1290,2430,1150,2790,1970,4460,3470,5040,4030,2420,1290,1990
3,1260,2000,1200,2740,2060,4270,4080,4640,3480,2340,1290,1850
4,1280,1600,1340,2590,2370,4100,3820,3970,3570,2500,1330,1790
5,1450,1270,1380,2600,2290,3990,3730,4030,3270,2840,1280,1430
6,1540,1070,1480,2900,2330,3330,3610,5280,3280,2880,1320,1310
7,1460,876,1210,3010,2490,3580,3510,5850,3060,2710,1360,1430
8,1540,920,892,2980,2470,3670,4260,5460,3540,2670,1510,1390
9,1910,1060,844,2920,2400,3690,4470,5210,4010,2410,1430,1490
10,1890,1020,771,2870,2520,3880,3920,5080,3680,2340,1530,1550
11,1860,943,857,2830,2520,4040,3500,5180,3490,2740,2030,1440
12,1770,865,1120,2900,2480,4110,3840,5260,3610,2330,2710,1310
13,1740,724,1570,2960,2610,4020,3760,5420,3730,2020,2880,1540
14,1690,1390,1580,2850,2680,4000,3770,5660,3740,1830,2840,1460
15,1530,2690,1550,2800,2680,3870,3870,5920,3400,1700,2830,1430
16,1450,3110,1640,2830,2630,3730,4220,6010,3320,1610,2770,1520
17,1400,3270,1790,2740,2740,3620,4470,5820,3470,1570,2720,1670
18,1280,3360,2030,2440,2960,3800,3970,5660,3490,1710,2690,1630
19,1350,3300,2220,2360,2960,3700,3880,5660,3430,1600,2680,1440
20,2600,2730,2250,2440,2940,3430,3780,7340,3650,1590,2650,1440
21,3180,2060,2380,2550,3000,3510,3760,9460,3650,1560,2500,1610
22,3220,1660,2450,2700,3010,4190,3540,8380,3490,1570,2480,1850
23,3290,1500,2340,3200,2720,4220,3160,7360,3830,1490,2110,1820
24,3320,1400,2600,3760,2990,4210,3090,6810,4220,1340,2000,1670
25,3150,1240,2490,3220,4060,4170,2550,6200,3830,1340,2140,1560
26,2230,1370,2510,2950,4970,4070,2920,5640,2980,1340,2150,1420
27,1800,1350,2520,2960,5400,3840,3400,5260,2870,1440,2260,1300
28,1880,1340,2140,2790,5650,3910,3160,5000,2900,1640,2160,1210
29,2080,1330,2280,2450,5460,3710,3880,4390,2980,1460,2030,1270
30,1880,,2540,2280,4980,3280,6160,4320,2850,1220,2080,1410
31,1690,,2720,,4780,,6150,4190,,1140,,1310
2017,1,2,3,4,5,6,7,8,9,10,11,12
1,1340,1040,1320,1510,2320,3700,6240,5080,8430,4880,4040,1900
2,1230,979,1410,1700,2110,3530,5740,4990,7930,4610,3810,2230
3,1440,1130,1240,1720,2110,3450,5330,4860,7080,4620,3510,2400
4,1520,1600,1190,1730,2530,3440,5470,4790,6760,4880,3380,2130
