,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,538,705,932,565,746,1100,2200,3270,2700,2460,2660,1180
2,525,817,763,604,643,996,2190,2850,2950,2250,2900,1190
3,590,910,755,628,606,1040,2340,2640,2750,2110,3010,1230
4,671,1060,826,651,668,1320,2300,2490,2650,2020,4040,1230
5,720,1080,891,703,701,1430,2490,2520,2840,1980,4780,1200
6,797,916,859,720,1070,1380,2820,2610,3050,2150,4530,1160
7,745,797,741,663,1320,1320,3260,2870,2950,2380,4020,1150
8,723,730,669,640,1450,1300,3630,3200,2720,2250,3980,1030
9,812,602,589,717,1530,1280,3720,4210,2570,2010,3830,982
10,831,543,496,742,1490,1370,3470,5480,2640,1890,3380,1000
11,806,489,479,751,1490,1470,3080,6030,2670,1820,3020,1040
12,760,437,565,743,1450,1450,2910,5860,2650,1780,2720,1070
13,741,445,636,716,1400,1490,2890,5310,2400,1620,2510,1030
14,657,493,664,650,1380,1610,2860,4690,2100,1460,2310,1010
15,618,524,717,698,1280,1820,2840,4410,1970,1400,2160,965
16,653,564,790,775,1110,1840,2820,4240,1860,1390,2080,938
17,680,581,873,713,1050,1790,2960,3830,1800,1430,2060,912
18,737,567,834,682,1030,1780,3340,3280,1760,1410,1990,849
19,935,574,751,675,1050,2050,3710,2750,1720,1370,1860,826
20,1040,683,685,682,1140,2410,3760,2400,1690,1270,1670,809
21,1100,762,693,626,1350,2510,3740,2220,1680,1250,1580,767
22,1070,730,677,666,1430,2480,3710,2090,1620,1240,1560,692
23,1000,658,633,708,1390,2300,3490,2020,1600,1220,1460,720
24,952,609,591,680,1240,2080,3180,1960,1670,1290,1420,786
25,878,563,613,702,1120,1960,3440,1910,1700,1610,1450,852
26,889,568,633,785,977,1910,4360,1940,2060,1720,1460,857
27,958,648,635,829,1010,1830,4860,2070,2790,1590,1340,830
28,869,902,638,735,1110,1910,4690,2320,3430,1580,1240,869
29,669,1060,606,729,1130,2200,4120,2540,3360,1680,1160,853
30,577,,589,807,1160,2290,3780,2750,2960,1740,1180,842
31,613,,576,,1170,,3630,2610,,1880,,826
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,845,484,671,656,815,2050,1540,2980,1700,1310,770,703
2,803,637,599,662,843,1810,1570,3100,1650,1190,738,743
3,786,874,593,741,788,1690,1870,3140,1520,1140,803,757
4,812,964,664,788,724,1980,1880,3090,1440,1140,911,828
5,767,1020,679,779,797,2120,2210,3000,1440,1030,954,833
6,720,1090,668,709,976,2070,3300,2920,1450,1020,944,821
7,800,1070,646,767,1120,1960,4030,2950,1450,1080,902,804
8,851,1000,632,800,1300,1860,4200,3010,1440,1090,847,777
9,851,970,580,757,1440,1740,4150,2780,1410,1080,833,789
10,855,1070,552,743,1640,1600,4050,2320,1340,1050,866,743
11,798,1100,623,779,1600,1530,3910,1990,1310,1020,893,667
12,779,938,650,788,1420,1450,3690,1810,1350,1010,863,638
13,768,737,615,738,1490,1370,3510,1740,1380,1070,807,654
14,795,623,610,814,1690,1280,3510,1710,1390,1110,731,659
15,756,588,548,925,1570,1160,3520,1670,1460,1130,717,666
16,742,544,487,916,1710,1250,3390,1660,1510,1090,702,684
17,743,593,512,885,2260,1410,3290,1790,1420,1010,640,760
18,800,707,587,866,2440,1580,3240,1980,1400,954,691,768
19,883,843,644,855,2430,1580,3240,2070,1430,941,763,730
20,981,998,675,832,2280,1520,3180,2060,1440,1010,767,694
21,1000,976,713,807,2050,1410,3230,1920,1400,1090,750,653
22,944,904,731,814,1880,1280,3090,1840,1460,1130,738,658
23,953,834,667,785,1780,1310,2830,1820,1530,1080,709,679
24,967,731,648,748,1730,1430,2540,1780,1410,1030,692,652
25,936,683,695,766,1720,1450,2270,1720,1330,963,716,616
26,873,684,695,757,1710,1440,2160,1700,1260,887,714,586
27,839,662,698,693,1550,1440,2120,1680,1250,875,710,580
28,789,679,703,695,1540,1520,2110,1690,1310,881,682,532
29,771,,693,767,1700,1560,2150,1750,1330,919,666,579
30,681,,633,801,2000,1620,2360,1740,1390,903,679,612
31,558,,653,,2210,,2680,1720,,837,,645
2010,1,2,3,4,5,6,7,8,9,10,11,12
1,636,980,553,526,817,1180,1340,2080,2100,1730,937,678
2,646,1000,512,513,778,1230,1350,1920,1910,1690,863,708
3,611,993,551,531,762,1240,1460,1960,1730,1580,846,753
4,560,829,578,556,851,1240,1460,2020,1590,1400,836,804
5,535,679,601,562,1010,1200,1370,2100,1600,1270,824,819
6,525,688,634,556,1090,1050,1340,2100,1530,1230,855,813
7,500,820,616,592,1140,962,1360,2080,1490,1220,868,777
8,495,934,549,584,1180,972,1360,1980,1560,1160,805,797
9,504,1000,527,571,1120,1070,1370,1880,1600,1120,787,829
10,558,995,508,584,1030,1090,1380,1830,1570,1140,829,828
11,560,945,527,536,920,1090,1360,1820,1600,1100,869,799
12,565,776,532,485,843,1140,1390,1820,1690,1010,872,783
13,570,614,544,451,848,1300,1380,1840,1730,1150,838,709
14,578,539,529,451,875,1260,1400,1850,1580,1330,815,680
15,614,530,507,480,908,1270,1440,1840,1680,1300,732,881
16,621,465,472,514,946,1260,1450,1830,1840,1240,681,901
17,594,444,460,537,961,1230,1450,1890,2040,1200,709,982
18,560,421,486,544,1050,1240,1460,1980,2010,1090,686,1020
19,549,352,501,547,1120,1250,1200,1940,1830,1100,703,978
20,532,354,513,594,1120,1160,1180,2090,1570,1250,742,899
21,505,360,502,670,1120,1120,1510,2210,1480,1250,755,854
22,511,423,468,697,1080,1010,1710,2160,1620,1210,735,849
23,534,467,528,755,975,1050,1900,1990,1680,1150,755,876
24,638,521,597,717,820,1080,2210,1960,1690,1160,826,917
25,847,628,660,625,722,1030,2410,2040,1710,1090,846,928
26,907,790,725,579,793,1020,2660,2170,1660,1030,828,850
27,965,771,800,541,836,1010,2760,2770,1580,1060,810,753
28,994,660,695,615,919,1090,2600,2870,1550,1110,799,694
29,976,,562,710,1060,1170,2330,2840,1760,1110,728,696
30,970,,506,787,1120,1210,2250,2610,1810,1090,675,674
31,969,,504,,1130,,2300,2370,,1050,,693
2011,1,2,3,4,5,6,7,8,9,10,11,12
1,682,1170,534,626,779,1130,1740,1760,1130,976,1260,818
2,735,1010,488,534,651,1210,1810,2000,1140,1100,1270,817
3,700,737,502,503,623,1260,2140,2110,962,1130,1170,910
4,673,577,454,452,758,1330,2390,2000,807,1080,1050,920
5,745,489,453,439,961,1440,2340,1790,841,1030,936,779
6,845,386,441,508,1120,1370,2260,1580,1030,961,904,699
7,830,352,372,610,1240,1160,2160,1600,1270,939,861,686
8,879,318,314,705,1230,1120,2030,1620,1220,991,858,667
9,893,314,324,694,1110,1230,1930,1620,1200,1050,774,647
10,807,306,415,711,1110,1240,1890,1690,1210,1020,748,678
11,773,321,426,696,1130,1190,1860,1690,1220,907,828,693
12,721,537,456,649,1110,1250,1870,1680,1180,882,836,707
13,720,911,475,643,1150,1310,2010,1620,1240,838,808,719
14,767,1090,478,631,1160,1470,2090,1510,1360,827,814,682
15,855,1090,461,614,1240,1760,2070,1350,1500,853,790,676
16,824,1060,419,722,1270,1860,2050,1240,1480,913,794,628
17,759,1140,574,803,1360,1860,1980,1360,1380,896,806,608
18,771,1160,756,648,1710,1900,1790,1350,1240,828,813,603
19,798,1020,955,613,1860,1880,1730,1290,1050,846,799,550
20,813,901,1050,820,1730,1640,1720,1280,1050,866,739,493
21,805,667,907,944,1560,1570,1710,1290,1320,871,685,526
22,850,477,706,1010,1550,1590,1790,1400,1530,821,653,601
23,785,419,688,926,1510,1550,1760,1410,1460,764,679,654
24,665,432,708,845,1460,1380,1790,1410,1350,718,769,628
25,651,541,703,784,1570,1390,2090,1670,1190,688,840,689
26,868,625,691,762,1590,1510,2110,1770,1050,688,923,665
27,990,599,695,850,1550,1830,2040,1610,989,794,921,690
28,963,592,664,863,1510,2110,1990,1340,986,902,853,626
29,1030,,638,872,1420,1990,2010,1090,974,995,819,619
30,1120,,644,919,1250,1850,2020,972,920,1180,817,555
31,1200,,656,,1130,,1960,1050,,1260,,532
2012,1,2,3,4,5,6,7,8,9,10,11,12
1,500,1030,514,615,942,2010,1610,5060,1560,1920,836,806
2,419,1120,591,556,916,1790,1670,5030,1540,1820,824,828
3,406,1250,617,590,804,1610,1830,4520,1430,1760,842,852
4,419,1270,676,627,854,1620,1890,3940,1440,1710,820,882
5,501,1280,668,694,937,1680,1880,3480,1480,1700,752,915
6,563,1260,659,659,1120,1880,1740,3240,1330,1770,779,926
7,622,1210,725,685,1230,2060,1660,3200,1190,1780,882,997
8,704,1130,710,754,1230,1870,1710,3400,1450,1580,908,920
9,727,1180,698,856,1380,1770,1810,3530,1670,1400,884,854
10,660,1110,614,829,1440,1740,2060,3880,1510,1320,784,793
11,629,668,670,904,1480,1680,2280,4070,1380,1320,648,886
12,573,388,755,987,1490,1480,2290,3960,1290,1270,570,990
13,528,280,807,1020,1480,1430,2210,3760,1240,1300,672,1010
14,473,283,879,1000,1370,1370,2260,3560,1130,1290,761,1030
15,502,353,877,979,1330,1460,2280,3290,1170,1260,833,1020
16,674,443,862,907,1300,1550,2040,3180,1220,1290,839,888
17,921,502,694,897,1290,1610,1850,3170,1110,1360,784,790
18,1110,556,656,962,1270,1540,1810,3490,1080,1340,811,699
19,1190,587,694,981,1340,1410,1770,4370,1140,1440,851,727
20,1200,571,705,941,1330,1410,1760,4570,1190,1560,949,783
21,1140,540,595,932,1400,1310,2000,3840,1310,1420,954,736
22,1060,521,544,942,1570,1280,2290,3310,1360,1280,950,649
23,892,456,457,943,1790,1340,2230,3210,1390,1240,906,614
24,772,422,371,984,1790,1390,2240,3120,1340,1150,743,671
25,597,390,466,1050,1790,1270,2290,2940,1390,999,683,769
26,574,392,489,1010,2040,1230,2380,2700,1850,818,727,873
27,526,343,571,922,2430,1320,3250,2450,2210,664,653,913
28,447,409,714,915,2250,1430,3810,2340,2330,691,673,957
29,451,526,809,996,2100,1490,3820,2170,2300,977,679,977
30,728,,812,976,1940,1410,4070,1950,2130,1010,766,815
31,929,,791,,1930,,4640,1730,,893,,754
2013,1,2,3,4,5,6,7,8,9,10,11,12
1,755,525,382,688,863,1670,1400,3600,2130,1380,687,484
2,642,458,354,698,883,1520,1380,3230,2210,1220,812,508
3,591,770,309,747,1020,1420,1540,3210,1920,1160,911,598
4,633,1080,359,793,1230,1450,1700,3780,1720,1140,933,673
5,733,1160,393,869,1240,1390,1880,4290,2040,1120,927,700
6,683,1170,514,794,1080,1460,1970,4210,3580,1100,889,710
7,644,1210,603,710,954,1590,1950,3680,3890,972,1030,701
8,699,1210,581,640,989,1600,1760,3290,3150,986,1050,603
9,788,1150,647,595,1120,1500,1780,3490,2580,1010,1010,584
10,827,970,560,560,1190,1460,1890,3910,2370,1030,950,508
11,892,754,517,595,1150,1520,2290,3820,2330,1020,840,439
12,894,614,536,635,1050,1720,2390,3680,2150,1040,988,407
13,869,596,523,666,967,1770,2360,3530,2080,1090,898,430
14,819,540,442,638,1040,1640,2210,3350,2330,1160,849,500
15,804,424,435,634,1060,1480,2040,2910,2370,1200,771,579
16,808,350,552,708,1100,1390,1930,2410,2110,1150,805,562
17,743,550,573,737,1170,1320,2070,2150,1840,1070,795,1100
18,657,982,566,790,1270,1260,2200,2060,1680,983,776,1610
19,619,1140,558,832,1230,1020,2380,2030,1720,936,690,1530
20,568,1180,646,836,1150,1030,2690,2050,1750,953,691,1430
21,583,1190,703,764,1160,1240,2930,2080,1630,917,631,1250
22,661,1160,672,845,1170,1340,3010,2150,1730,890,640,1080
23,832,896,595,814,1260,1470,3040,2240,1590,856,668,920
24,1010,663,582,815,1320,1520,2930,2180,1580,845,628,728
25,1070,583,534,864,1410,1320,2720,2070,1580,838,535,583
26,1060,447,564,922,1500,1550,2460,2280,1570,857,502,495
27,1110,367,549,884,1470,1630,2290,2640,1440,880,491,438
28,1170,371,577,914,1450,1560,2290,2540,1440,847,442,544
29,1200,,607,910,1530,1530,2480,2260,1400,826,412,660
30,1110,,653,845,1520,1500,3190,2050,1330,795,497,614
31,839,,727,,1570,,3800,1960,,731,,561
2014,1,2,3,4,5,6,7,8,9,10,11,12
1,602,519,548,474,1220,977,1050,1810,2350,1620,865,618
2,599,449,536,459,1180,940,1190,1640,2080,1570,856,524
3,645,392,469,499,1160,891,1310,1570,1920,1570,726,540
4,611,320,427,551,1240,872,1330,1620,1860,1430,733,659
5,545,307,406,502,1290,897,1210,1740,1800,1350,796,680
6,570,581,379,560,1190,881,1150,1800,1750,1420,768,714
7,518,966,465,707,1220,787,1230,1800,1700,1470,866,752
8,445,1130,527,816,1230,745,1090,1760,1600,1490,1030,715
9,331,1180,587,925,1210,779,1210,1750,1540,1360,1320,729
10,360,1150,587,893,1170,930,1310,1780,1500,1270,1340,754
11,540,1140,528,873,1120,1120,1360,1690,1490,1250,1270,729
12,683,1140,610,923,1070,1230,1460,1640,1480,1180,1220,698
13,821,1100,596,940,1040,1470,1450,1700,1470,1150,1170,626
