,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,493,514,443,543,543,460,849,781,1185,954,772,523
2,460,507,433,513,497,490,832,910,1137,924,751,516
3,460,500,428,483,474,526,830,948,1051,883,727,513
4,477,497,433,453,471,610,864,911,953,849,720,512
5,475,462,439,471,464,617,882,914,887,828,709,482
6,473,452,419,487,491,592,917,904,861,826,683,492
7,474,436,401,494,491,630,931,868,845,815,647,477
8,476,453,420,498,461,687,922,905,831,801,620,472
9,471,483,433,512,433,659,920,990,811,792,583,472
10,476,479,441,526,471,618,931,1066,803,761,605,482
11,480,461,434,509,542,627,930,1126,798,722,666,519
12,481,435,444,500,555,642,942,1169,778,687,710,498
13,494,426,519,492,545,616,1014,1210,777,693,720,491
14,494,474,525,466,533,636,1060,1216,771,676,682,480
15,498,483,508,449,515,659,1067,1135,778,675,676,471
16,491,507,513,447,492,709,1052,1048,793,659,659,470
17,477,519,506,483,516,809,1040,987,791,618,627,471
18,485,502,462,471,510,925,995,953,771,596,595,469
19,479,477,445,472,471,953,960,950,916,620,566,450
20,485,466,440,493,441,932,946,926,1086,636,569,454
21,513,436,425,494,418,900,953,913,992,624,555,455
22,522,462,451,512,446,843,988,909,901,610,554,460
23,521,467,477,504,529,813,1007,964,848,620,564,458
24,524,466,512,496,505,819,1007,976,819,590,567,455
25,529,465,547,488,490,816,999,986,796,599,557,462
26,531,464,562,472,428,804,1011,1082,799,592,538,449
27,530,459,584,477,438,797,985,1108,796,597,526,466
28,532,441,599,512,428,799,918,1084,1026,594,515,499
29,524,567,626,518,427,800,848,1095,1142,602,524,528
30,520,,595,546,454,832,814,1132,1036,613,522,528
31,499,,574,,460,,794,1172,,652,,511
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,480,377,435,417,451,806,710,1016,760,601,417,365
2,467,476,412,418,465,756,763,1031,738,569,396,371
3,474,538,415,435,452,766,811,1032,693,575,422,395
4,474,552,418,444,444,833,810,1021,680,559,454,410
5,467,570,414,436,509,842,907,1003,684,521,457,393
6,466,584,413,440,575,820,1092,999,692,532,459,397
7,486,555,397,471,624,795,1177,1010,686,539,429,369
8,499,536,379,481,649,776,1190,1015,695,525,410,377
9,498,547,357,466,680,745,1178,951,671,525,432,397
10,472,579,389,474,729,714,1163,865,643,502,437,386
11,453,578,423,473,672,704,1143,817,640,494,451,374
12,443,508,424,465,649,664,1095,794,643,491,446,367
13,456,446,424,446,708,651,1073,786,645,539,449,336
14,463,432,422,500,732,622,1081,775,658,558,419,311
15,455,421,381,523,696,599,1081,755,692,555,367,317
16,461,396,355,508,780,650,1056,763,676,530,336,342
17,473,422,379,500,879,702,1040,797,657,513,334,387
18,484,447,403,493,888,737,1040,833,657,494,386,372
19,530,507,430,490,875,720,1036,844,681,493,400,355
20,555,549,436,486,830,707,1026,827,676,531,394,332
21,546,518,453,493,794,656,1035,806,669,556,407,311
22,527,499,453,497,769,627,994,789,715,543,388,345
23,545,455,419,488,761,661,956,799,689,514,361,354
24,543,440,438,476,749,685,898,779,647,485,369,347
25,519,433,452,480,757,681,865,776,609,462,386,342
26,493,433,447,468,725,673,853,772,585,432,390,335
27,489,436,457,435,690,687,861,767,608,438,385,319
28,470,446,456,431,710,709,850,776,628,451,386,297
29,463,,447,448,759,729,883,785,642,475,378,293
30,433,,419,453,840,740,923,773,653,465,346,297
31,387,,428,,852,,987,773,,440,,309
2010,1,2,3,4,5,6,7,8,9,10,11,12
1,314,522,269,290,421,569,614,792,788,720,444,411
2,302,550,287,300,391,584,645,787,762,705,427,434
3,287,526,326,313,406,591,679,803,706,673,453,434
4,276,448,339,295,465,595,674,815,701,619,462,424
5,273,405,354,276,534,571,650,823,700,595,441,410
6,281,429,355,299,558,517,662,818,672,596,454,382
7,286,487,326,329,583,495,664,807,683,590,429,406
8,279,529,287,311,589,529,658,782,703,577,386,425
9,276,533,277,291,564,561,655,759,710,567,383,431
10,275,528,281,283,533,549,644,751,712,556,433,414
11,279,488,279,268,495,542,649,750,713,524,443,411
12,292,370,281,255,469,572,636,753,757,502,435,395
13,297,278,284,272,463,587,630,764,711,596,421,356
14,305,247,289,289,461,583,628,768,700,624,408,417
15,310,257,283,300,480,591,654,768,725,600,364,508
16,314,242,301,302,467,586,656,770,770,590,394,519
17,302,236,310,286,481,583,667,793,801,562,402,540
18,287,235,302,274,523,606,619,788,777,520,404,533
19,288,227,313,274,546,597,565,785,733,574,413,498
20,291,228,303,308,544,581,624,832,675,619,411,451
21,290,234,295,339,549,559,715,842,701,607,401,445
22,306,250,279,363,534,525,734,810,728,587,376,446
23,344,267,289,415,510,542,796,785,737,565,403,446
24,415,273,317,368,438,521,847,786,734,560,426,461
25,492,365,381,317,443,507,866,794,734,536,417,463
26,512,461,438,320,446,513,914,848,709,520,413,435
27,533,383,437,349,438,514,924,950,688,533,405,382
28,525,304,350,393,484,556,886,937,694,548,380,398
29,517,,277,429,531,569,844,928,760,548,358,410
30,509,,280,438,534,599,858,881,740,504,373,409
31,511,,296,,540,,849,834,,502,,395
2011,1,2,3,4,5,6,7,8,9,10,11,12
1,383,523,284,355,428,550,665,698,585,474,539,418
2,331,446,270,342,376,567,700,764,572,471,539,453
3,309,327,264,343,377,579,789,773,470,471,514,483
4,365,279,265,305,432,595,818,738,418,469,478,471
5,393,254,253,293,507,612,804,700,428,458,457,420
6,418,242,254,330,542,561,792,669,533,441,476,385
7,431,237,253,365,559,511,777,687,577,446,470,372
8,450,237,250,403,534,539,757,670,547,464,466,364
9,459,236,281,382,507,579,744,684,548,488,444,356
10,429,236,285,385,525,577,737,680,549,469,427,352
11,421,234,283,368,531,580,723,680,545,461,428,363
12,419,355,281,359,527,608,734,670,549,459,407,346
13,420,492,268,333,552,605,764,654,578,431,402,347
14,444,531,269,327,554,667,764,626,627,423,395,354
15,453,501,263,372,586,702,750,585,648,439,393,345
16,421,493,300,437,572,710,744,598,634,460,386,331
17,363,531,340,448,627,704,728,631,618,425,395,338
18,376,529,398,397,687,716,688,623,555,405,406,338
19,382,475,475,402,694,686,703,600,486,410,410,326
20,393,446,489,450,651,636,691,597,512,402,405,323
21,411,353,432,469,623,658,714,612,616,396,382,325
22,419,288,390,473,624,663,723,629,630,394,378,328
23,401,283,394,436,611,641,712,621,601,398,404,324
24,365,296,383,432,628,605,737,635,552,395,408,321
25,418,328,371,387,659,600,795,703,510,406,412,330
26,498,340,361,414,659,659,777,683,476,416,420,314
27,518,321,358,456,652,736,761,636,481,396,391,320
28,509,309,330,469,648,764,752,558,489,420,375,326
29,497,,323,486,619,719,756,494,494,468,381,335
30,532,,342,480,563,687,747,486,491,533,389,332
31,536,,364,,541,,709,546,,520,,337
2012,1,2,3,4,5,6,7,8,9,10,11,12
1,320,521,303,321,468,724,657,1154,665,732,420,409
2,297,543,310,267,452,666,659,1135,665,714,394,434
3,284,564,316,313,457,641,688,1067,637,699,396,424
4,294,555,320,379,506,636,692,999,670,689,374,445
5,311,549,302,395,522,656,684,950,659,689,358,468
6,318,542,335,403,562,711,657,927,599,709,391,476
7,340,528,365,417,552,700,655,930,568,688,428,488
8,360,522,386,442,543,669,691,957,664,631,443,479
9,346,542,377,417,590,665,719,970,679,603,443,459
10,332,479,379,415,597,689,779,1024,634,593,423,430
11,310,334,414,446,606,658,810,1032,602,595,402,452
12,288,253,424,466,609,648,793,1014,594,586,385,469
13,272,226,424,473,601,647,784,991,581,598,384,443
14,263,229,430,485,584,637,803,963,573,597,378,442
15,349,228,423,467,596,662,783,931,603,597,376,431
16,436,232,389,463,607,673,732,927,584,609,371,387
