,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
1,3,0.2,2.6,0.8,1.8,2.4,2.6,1.2,1.6,2.3,0.3,3.2
2,3.4,0.5,3.2,0.6,2.7,1.6,2.6,0.8,2.3,3.3,0.3,2.6
3,3.4,1,3.7,0.6,2.5,3.6,2.4,1.8,1.5,2.3,0.5,1.3
4,2.8,2.4,4.6,0.6,2.4,2,3,1.9,0.9,2.5,1,3
5,2.1,0.8,2.3,0.6,2.2,2,2.1,2.8,1.5,1.8,1.1,3.2
6,3,1.4,2.1,1.4,1.4,1.9,1,3.6,0.6,3.6,1.2,2.9
7,1.6,1.4,2.5,2.2,2.1,2.6,2,1.8,1.4,2.6,1.1,2.3
8,1.3,1.6,2.6,1.6,2.4,2.3,1.9,1.2,2.6,2.3,2.8,3.3
9,2,1.8,1.6,2.3,2.3,3.8,2.2,1.1,2,2.4,3.2,2.6
10,2.4,2.3,1.2,1.1,1.9,2.4,2.6,0.6,1.8,2.5,3.4,1.3
11,2.2,1.6,1.7,0.8,3.1,2.3,2.7,2.5,3.1,2.9,2.4,2.4
12,2.4,1.9,2.5,0.8,3.9,2.5,1.8,2,2.7,2.6,2.3,1.5
13,2.1,2.2,1.1,1.3,3.3,2.3,2.2,2.4,1.7,3.8,1.8,1.7
14,2,2.8,0.9,2.8,5.3,2.1,3,2.6,3.1,2,2.2,1.9
15,0.9,2.1,1.6,2.1,3.8,2.2,2.3,2.7,3,1.1,2.6,2.1
16,0.9,2,0.9,2.1,3.4,1.7,0.8,2.8,2.9,3.1,1.6,1.6
17,1.4,0.8,1.1,2.6,3.2,1.3,0.8,1.9,2.8,3,1.3,1.4
18,1.6,0.3,1.1,2.9,2.1,1,1.9,0.9,2.8,3.2,1.6,1.6
19,0.4,0.3,1.2,3.4,0.9,1.2,2.3,2,2.7,2,1.9,2.1
20,0.9,0.7,1.6,1.9,2.7,2.6,2.4,2.2,2.3,1.4,2.5,2
21,0.5,2.1,2.3,2.7,2.6,2.5,4.8,2.5,2.6,1.2,1.7,1.3
22,0.2,2.4,1.3,1.8,2,3.1,5.6,3,3.4,2.8,1.8,1
23,0.7,2.8,3.3,1.1,2.4,3.8,3,1.5,4.5,3.1,1.7,1.8
24,1.4,2.2,3.6,1.6,2.4,3.6,0.9,0.9,4.2,1.7,2.9,1.5
25,0.3,0.9,2.5,2.3,3.4,4.2,0.6,1.7,0.6,2.3,2.2,1
26,0.6,1.2,2.7,2.2,2.5,4.3,1.8,1.9,1.1,1,2.4,1.6
27,1.5,2.2,1.7,2.5,3.8,2,2.8,2.4,0.6,1.3,3.2,0.6
28,0.1,2.7,1.2,3,5.2,1.1,2.8,3.2,1.6,3,2.6,0.4
29,0.5,2.6,1.3,2.7,3.5,3,3.6,2.4,3.1,1.2,2.8,0.9
30,0.2,-999,1.8,1.9,3.4,2.6,3.5,2.2,1.7,1.2,2.9,1.6
31,1,-999,0.6,-999,1.8,-999,1.6,1.2,-999,0.5,-999,2.2
2009,1,2,3,4,5,6,7,8,9,10,11,12
1,2.6,1.8,1,1.5,1.4,3,1.6,1.1,1.8,1.4,2.7,1.6
2,2.4,0.6,0.4,0.5,1.8,1.4,1.9,1.8,1.9,2.7,4.6,2.6
3,1.8,1,0.4,1,2.6,1.9,2.2,1.8,2.2,3,4.2,2.4
4,1.8,1.3,0.2,1,2,2.4,1.1,2.1,2.4,2.7,2.6,2.1
5,1.5,1.6,0.5,0.6,2.4,1.6,0.4,2.5,2,2.9,2.8,2.9
6,1.6,2.7,1.6,2.1,1.4,1.6,0.6,2.2,2.5,3.2,2.7,2.9
7,1.8,2.3,2.5,1.6,1.5,1.9,1.4,1.7,2.3,2.3,2.1,1.5
8,1.9,1.4,1.3,1.1,1,5.2,2.6,3.3,2.9,3.2,1.9,1.3
9,2.9,1.7,2,2.1,0.3,4.2,2,4.8,2.7,2.7,1.7,1.9
10,3.5,2.1,2.6,2.2,1.2,2.7,2.4,2.9,2.6,1.4,2.3,1.7
11,3,2.5,1,1,1.5,2.1,2.3,1.7,2.2,1.7,2.1,3
12,2.7,2,0.6,1.9,1.9,2.6,2,2.2,0.8,2,2.5,2
13,3.4,2.4,0.7,1.5,1.8,2.3,0.5,1.6,0.9,2,2.8,2.3
14,2.5,2.6,2.2,1.3,2,3,1.9,0.6,1.8,1.4,2.6,2.5
15,2.6,2.5,2.7,1.7,1.6,2.6,2.3,1.3,2.5,0.6,1,2
16,3,3.1,1.4,1.2,1.5,1,1.8,1.5,0.9,0.5,0.4,2.3
17,2.5,2.2,1.1,1.6,1.7,2.1,0.4,1.8,0.8,1.4,2.8,1.5
18,0.8,2.6,0.9,1.4,0.9,1.9,2,2.4,1.8,2,3.5,1.7
19,1.6,2.7,0.7,2,1.8,2.7,2.1,1.8,2.6,2,3.1,1.8
20,2.5,1.6,0.6,2.7,1.7,3.3,0.8,2.1,3.1,1.1,2.7,1.8
21,2.2,1.3,1.7,2.3,1.3,3.9,1.8,1.8,1.5,0.6,5,1.4
22,2.9,0.7,3,2.7,1.6,3.4,1.5,1.3,1.4,0.6,4,1.9
23,1.4,0.8,2.2,2,2.1,2.5,2.4,1.9,2.4,1.6,1.9,1.6
24,1.3,0.9,0.4,1.6,2.7,2.6,2.1,2.5,2.3,1.9,2.2,2.1
25,1.9,1.1,1,2.3,2.7,2.2,2.1,1.9,1.2,2.2,1.6,2.2
26,0.6,0.9,0.6,2,2.7,1.3,2,2,1.4,1.8,1.5,1.9
27,1,1.7,2.8,2.9,2.7,1.2,3.9,2.4,2.3,1.8,1.5,1.5
28,1.2,1,2.1,0.5,1.8,2.3,1.9,2.3,4.8,2.2,1,3
29,0.6,-999,2.5,0.2,0.9,2.1,1.3,1.6,4.1,0.8,2.2,1.4
30,1.8,-999,2.2,0.4,2.5,2.9,1.8,1.3,2.1,1.9,2.4,0.5
31,2,-999,1.6,-999,1.8,-999,1.7,1.8,-999,1.8,-999,0.4
2010,1,2,3,4,5,6,7,8,9,10,11,12
1,0.4,2.1,1.8,0.9,1.4,2.6,2.5,2.9,2.7,1.6,3,2.1
2,0.5,2.4,1.7,1,0.7,1.9,3.2,1.3,2.4,2.2,4,2.4
3,1.4,2,2.1,1.4,1.3,3,3.9,2.2,2.8,3.6,3.9,2.4
4,1.3,2.2,2.1,0.8,2.9,2.4,5,4.1,3.1,2.8,3,1.8
5,1.2,2.5,2.3,2.1,1.3,3.1,7.1,2.2,2.2,3.6,3.2,1.6
6,1.8,2.1,2,1.3,1.8,3.2,4.1,2.5,1.5,4.3,2.7,0.9
7,0.9,3.2,3,0.4,2.1,1.6,5.2,2.3,2.2,3.1,2.3,1.6
8,1.8,2.9,1,1.7,2,2.8,4.5,2.1,2.1,4.6,3,2.2
9,1,2.6,1.9,1.9,2.9,2.4,4,2.6,2.4,2.9,3,2.5
10,1.4,3.4,2.5,0.7,2.1,3,3.3,1.6,2.4,3,2.3,2.1
11,2,2,3.1,1.1,1.1,2.2,2.9,1.6,1.7,2.9,2.5,0.9
12,2.4,2.9,2,1.7,1.7,1.5,2.7,0.9,1.8,1.9,2.5,1.7
13,1.8,2,0.9,1.2,2.6,3,1,1.5,1.5,1.3,2.9,0.9
14,2.6,0.4,0.6,1.2,2.3,3.4,2,2.1,0.6,2.8,3.1,0.5
15,2.3,1.1,0.8,0.8,1.8,3.1,2.5,1.9,1.7,0.9,2.2,0.3
16,1.9,1.8,0.7,1,2.2,5.2,3.1,1,2.4,1.3,1.8,1
17,1.8,1.3,1.5,0.6,2.3,5.7,2.8,1.1,2.6,0.2,2.3,1.9
18,2.3,1.9,1.1,1.4,2.2,4.4,2.1,1.3,2,0.6,1,3.4
19,1.9,1.6,0.8,2.4,2.6,6,1.9,2.1,2.6,2.6,1.7,1
20,0.7,2,1.2,2.4,3.6,3.6,2.4,2.4,2.3,3.9,2.4,0.6
21,0.2,1.2,0.7,2.3,4.2,1.5,1.9,0.5,2.3,3.7,1.2,0.8
22,0.5,1.1,1.3,2.4,4,1.7,0.8,0.6,1.7,3,1.8,0.5
23,0.5,0.8,1.8,2.2,2.4,2.4,2.5,2,0.8,2.2,1.7,1
24,0.9,1,1.5,2.5,1.1,3.4,1.4,0.9,1.3,1.3,1.9,0.7
25,0.3,2.2,3.1,2,1.9,3.5,0.4,1.3,1.5,0.8,0.6,1.3
26,0.9,2.8,4.4,1.2,1.9,1.9,2.2,1.1,2,2.5,0.6,2.5
27,0.6,1.9,3.1,2.6,2,3.5,1.2,0.4,1.8,1.3,0.9,2.4
28,0.6,1.7,2.6,1.8,1.8,3.5,1.7,0.3,1.8,3.5,1.2,0.9
29,1,-999,3.6,1.6,1.2,1.5,1.9,1.3,2.1,2.6,1.2,0.7
30,1.6,-999,1.1,1.2,1.5,0.8,2.1,1.7,3,3.2,0.5,1
31,1.8,-999,1.1,-999,2.2,-999,2.3,1.9,-999,3,-999,1.7
2011,1,2,3,4,5,6,7,8,9,10,11,12
1,0.8,0.9,0.7,3.3,1.3,1.9,1.6,0.8,3.4,0.4,1.2,0.9
2,0.8,1.6,0.7,1.8,2.9,2.7,3.2,1.1,2.1,2.2,1.3,1.4
3,1.3,1.4,0.6,0.9,1,1.5,2.9,1.7,1.4,1.7,2.1,2.4
4,0.7,2.1,0.6,1.8,0.8,2.3,3.1,1.9,1.3,1.9,1.5,1.4
5,0.4,1.7,0.3,1.4,0.6,2.1,3.3,1.9,0.9,0.5,1.7,1.6
6,0.4,2.1,0.9,0.5,1,1,3.8,2.5,1.8,0.2,1.8,1.3
7,1.4,1.6,1,0.4,1.9,1.5,4.1,1.7,1.6,0.2,2.1,0.6
8,1.3,1.5,1.3,1.4,2.5,2.3,2.4,1.3,2.3,0.1,2.1,1.3
9,0.4,2.3,1.9,1.3,2.3,2.5,2.8,1.6,1.1,0.8,3.1,3.4
10,1.4,2.2,1.2,1.5,3.3,2.2,2.3,1.4,0.8,2.1,3.8,3.2
11,0.4,3,1.2,1.9,2.3,1.4,1.3,0.2,1.5,3.2,2.2,3.8
12,1.2,1.3,1.2,1.8,1.3,1.8,2,0.8,0.4,1.7,1.6,2.3
13,1.3,0.7,1,2.5,1.4,1.4,1.8,1.2,0.7,1.6,1.3,2.4
14,0.7,1.7,0.3,1.8,1.2,1.7,0.9,2.9,0.8,1.6,2.2,2.6
15,1.2,1.3,0.2,1.7,1.1,1.5,1.7,2.3,0.9,2.3,1.9,2.8
16,2.6,0.4,0.1,0.8,1,1.7,2.3,1.6,1.5,3.3,1.4,2.6
