wind,max_temp,min_temp,solar_r,humidity,discharge,rain,water_level
1.5833,18.0667,18.0667,20.856,0.74,94.3,0.0,515.8933
1.4167,18.1667,18.1667,19.495,0.73,92.3,0.0,515.88
1.0,18.2,18.2,19.5227,0.7133,89.8,0.0,515.8633
0.75,18.6667,18.6667,19.249,0.6933,87.8333,0.0,515.85
1.25,18.9333,18.9333,20.7093,0.7033,85.8667,0.0,515.8367
2.0,19.2667,19.2667,20.786,0.71,84.9,0.0,515.83
2.75,19.1667,19.1667,20.5143,0.7267,84.4333,0.0,515.8267
2.75,18.7667,18.7667,20.4187,0.7433,83.4667,0.0,515.82
2.75,18.7,18.7,20.544,0.7567,83.0,0.0,515.8167
2.75,19.2333,19.2333,21.1073,0.7533,81.5667,0.0,515.8067
2.6667,20.3333,20.3333,21.3667,0.7233,80.6333,0.0,515.8
2.5833,20.0,20.0,21.1457,0.7267,79.2,0.0,515.79
2.1667,19.1667,19.1667,21.0137,0.7333,78.7,0.0,515.7867
1.8333,18.3333,18.3333,21.147,0.74,78.2,0.0,515.7833
1.5,18.6333,18.6333,21.4143,0.7233,77.7,0.0,515.78
1.5,18.8,18.8,21.2843,0.72,77.2333,0.0,515.7767
1.4167,18.9,18.9,21.2893,0.71,75.8333,0.0,515.7667
1.3333,18.5333,18.5333,21.073,0.7233,74.4333,0.0,515.7567
0.9167,18.7333,18.7333,21.123,0.7,73.5,0.0,515.75
0.5833,19.0333,19.0333,20.997,0.7167,73.0333,0.0,515.7467
0.5,20.5333,20.5333,21.0503,0.71,72.5667,0.0,515.7433
0.75,21.5333,21.5333,20.6543,0.7267,72.1,0.0,515.74
1.5833,22.1333,22.1333,20.7547,0.72,71.6667,0.0,515.7367
2.1667,22.0667,22.0667,21.0817,0.7033,71.2333,0.0,515.7333
2.6667,21.8333,21.8333,21.95,0.6967,71.2333,0.0,515.7333
2.5833,21.7333,21.7333,22.19,0.6833,71.2333,0.0,515.7333
2.0,21.0,21.0,22.0237,0.7,70.7667,0.0,515.73
1.5,20.6667,20.6667,21.8573,0.6967,70.3333,0.0,515.7267
1.1667,20.1333,20.1333,22.1027,0.69,71.2333,0.0,515.7333
1.3333,19.6667,19.6667,22.4393,0.69,74.0,0.0,515.7533
1.1667,19.0667,19.0667,22.8237,0.7,74.0,0.0,515.7533
0.8333,19.1,19.1,22.705,0.72,72.1667,0.0,515.74
1.0833,19.9333,19.9333,22.7243,0.7167,68.5,0.0,515.7133
1.6667,20.8667,20.8667,22.3737,0.7233,66.6667,0.0,515.7
2.0833,22.1667,22.1667,22.3003,0.7367,65.3333,0.0,515.69
1.9167,23.3,23.3,22.274,0.7533,63.9667,0.0,515.68
1.9167,24.7,24.7,21.8717,0.76,63.9667,0.4,515.68
2.0833,25.1333,25.1333,21.7503,0.7533,63.5,0.4,515.6767
1.75,25.4333,25.4333,20.7847,0.7533,63.5,0.7333,515.6767
1.25,25.3333,25.3333,21.3643,0.7333,61.7333,0.3333,515.6633
0.75,25.4667,25.4667,21.571,0.7167,60.8667,0.3333,515.6567
0.75,25.2667,25.2667,22.671,0.69,59.1333,0.0,515.6433
0.5833,24.6667,24.6667,22.9267,0.6833,57.8333,0.0,515.6333
0.4167,23.8,23.8,23.231,0.6567,56.1,0.0,515.62
0.5,22.8667,22.8667,23.4893,0.62,55.2333,0.0,515.6133
0.75,22.6667,22.6667,23.8437,0.6067,54.3667,0.0,515.6067
1.5833,23.0667,23.0667,24.0077,0.6367,53.5333,0.0,515.6
2.1667,23.9333,23.9333,23.212,0.68,52.7,0.0,515.5933
2.5833,24.5667,24.5667,22.1257,0.7067,52.3,0.0,515.59
2.4167,24.9667,24.9667,21.6627,0.7067,54.8667,0.0,515.61
2.4167,25.0,25.0,20.95,0.6933,54.4333,0.0,515.6067
2.5833,24.7667,24.7667,22.3673,0.6867,53.6,0.0,515.6
2.8333,24.1,24.1,22.868,0.6867,50.2,0.0,515.5733
2.9167,23.9,23.9,24.6763,0.6967,50.2,0.0,515.5733
3.0833,24.2,24.2,23.2303,0.69,50.2,0.0,515.5733
3.1667,25.0333,25.0333,21.7777,0.6867,50.2,0.0,515.5733
3.1667,25.6333,25.6333,20.4697,0.67,49.8,0.0,515.57
3.0833,25.6667,25.6667,20.624,0.6867,49.8,0.0,515.57
3.1667,25.2667,25.2667,21.8097,0.71,54.0667,0.0,515.6033
3.3333,24.9333,24.9333,21.6173,0.7433,58.3333,0.7333,515.6367
3.0833,24.6333,24.6333,22.3147,0.73,60.0,0.7333,515.65
2.6667,24.7667,24.7667,22.9173,0.6833,55.7333,0.7333,515.6167
2.25,24.2667,24.2667,24.8547,0.67,50.6333,0.0,515.5767
2.25,24.2333,24.2333,25.458,0.6567,48.1333,0.0,515.5567
1.9167,24.2333,24.2333,25.7653,0.6767,46.9,0.0,515.5467
1.5833,24.8333,24.8333,25.6743,0.6667,46.1,0.0,515.54
0.8333,25.5,25.5,25.7803,0.6567,45.3,0.0,515.5333
0.4167,25.0,25.0,25.887,0.6667,44.1,0.0,515.5233
0.25,24.7,24.7,25.942,0.6633,43.3,0.0,515.5167
0.5,23.8667,23.8667,26.146,0.68,42.5,0.0,515.51
0.6667,23.7333,23.7333,26.0983,0.6667,42.5,0.0,515.51
0.5833,23.2,23.2,25.9477,0.68,42.1333,0.0,515.5067
0.4167,22.9667,22.9667,25.8967,0.68,42.1333,0.0,515.5067
0.3333,22.6333,22.6333,25.3387,0.69,42.1333,0.0,515.5067
0.4167,22.8667,22.8667,25.1827,0.69,42.5,0.0,515.51
0.5833,23.3,23.3,24.8737,0.6833,42.5,0.0,515.51
0.75,24.1333,24.1333,24.6623,0.6833,42.1333,0.0,515.5067
0.75,24.7,24.7,24.0433,0.6733,41.4,0.0,515.5
0.5833,25.2333,25.2333,23.3203,0.6867,40.6667,0.0,515.4933
0.4167,25.8667,25.8667,22.9507,0.68,39.9,0.0,515.4867
0.4167,26.3333,26.3333,23.0373,0.6867,39.9,0.0,515.4867
0.5833,26.8667,26.8667,23.3267,0.68,39.5,0.0,515.4833
0.8333,26.8333,26.8333,23.4103,0.71,39.5,5.0333,515.4833
0.9167,27.2333,27.2333,23.698,0.7267,39.1,5.0333,515.48
1.1667,27.3,27.3,22.9613,0.74,38.7333,5.0333,515.4767
1.3333,27.2,27.2,22.7343,0.7467,38.3667,3.2333,515.4733
1.5,26.8333,26.8333,22.763,0.74,44.4667,3.2333,515.5233
1.5,26.4333,26.4333,23.558,0.7367,49.6333,3.2333,515.5667
1.0,26.2333,26.2333,25.174,0.7067,51.1333,0.0,515.58
0.5,26.1,26.1,25.353,0.6967,46.9667,0.0,515.5467
0.3333,26.0,26.0,24.8113,0.71,43.3,0.0,515.5167
0.6667,26.5667,26.5667,23.6013,0.7033,43.3,0.0,515.5167
1.0,26.5333,26.5333,23.057,0.7067,41.0,0.0,515.4967
1.0,25.8667,25.8667,23.7957,0.73,40.2667,8.5,515.49
0.8333,24.9,24.9,23.145,0.7833,40.2667,11.7667,515.49
0.6667,24.7667,24.7667,22.4413,0.8267,42.5667,12.1333,515.51
0.4167,25.7333,25.7333,22.3543,0.8133,44.1,3.6333,515.5233
0.3333,26.5667,26.5667,23.655,0.7867,43.3667,0.3667,515.5167
0.5,27.1,27.1,24.1827,0.75,41.8333,0.0,515.5033
0.75,27.1,27.1,25.0697,0.7333,39.5333,0.0,515.4833
1.25,26.5667,26.5667,23.9997,0.7367,39.5333,1.7333,515.4833
1.5,25.5,25.5,24.0093,0.77,40.2667,1.7333,515.49
1.5833,24.8333,24.8333,23.915,0.7567,41.7667,1.7333,515.5033
1.4167,25.0,25.0,25.2093,0.7333,42.1333,0.0,515.5067
2.1667,25.2667,25.2667,25.782,0.6967,41.0,0.0,515.4967
