time,wind,max_temp,min_temp,solar_r,humidity,discharge,rain,water_level,vapor,kongplong_q,dakmot_q
1985-01-01,1.75,18.1,18.1,20.313,0.74,96.8,0.0,515.91,10.126524583333332,34.6319,34.7215
1985-01-02,1.75,18.3,18.3,20.855,0.73,95.3,0.0,515.9,10.126524583333332,34.1954,34.2839
1985-01-03,1.25,17.8,17.8,21.4,0.75,90.8,0.0,515.87,10.126524583333332,33.7643,33.8517
1985-01-04,1.25,18.4,18.4,16.23,0.71,90.8,0.0,515.87,10.126524583333332,33.3387,33.425
1985-01-05,0.5,18.4,18.4,20.938,0.68,87.8,0.0,515.85,10.126524583333332,32.9185,33.0037
1985-01-06,0.5,19.2,19.2,20.579,0.69,84.9,0.0,515.83,10.126524583333332,32.5036,32.5877
1985-01-07,2.75,19.2,19.2,20.611,0.74,84.9,0.0,515.83,10.126524583333332,32.0938,32.1769
1985-01-08,2.75,19.4,19.4,21.168000000000006,0.7,84.9,0.0,515.83,10.126524583333332,31.6893,31.7713
1985-01-09,2.75,18.9,18.9,19.764,0.74,83.5,0.0,515.82,10.126524583333332,31.2899,31.3708
1985-01-10,2.75,18.0,18.0,20.324,0.79,82.0,0.0,515.81,10.126524583333332,30.8954,30.9754
1985-01-11,2.75,19.2,19.2,21.544,0.74,83.5,0.0,515.82,10.126524583333332,30.506,30.5849
1985-01-12,2.75,20.5,20.5,21.454,0.73,79.2,0.0,515.79,10.126524583333332,30.1215,30.1994
1985-01-13,2.5,21.3,21.3,21.102,0.7,79.2,0.0,515.79,10.126524583333332,29.7418,29.8187
1985-01-14,2.5,18.2,18.2,20.881,0.75,79.2,0.0,515.79,10.126524583333332,29.3669,29.4429
1985-01-15,1.5,18.0,18.0,21.058000000000003,0.75,77.7,0.0,515.78,10.126524583333332,28.9967,29.0718
1985-01-16,1.5,18.8,18.8,21.502,0.72,77.7,0.0,515.78,10.126524583333332,28.6312,28.7053
1985-01-17,1.5,19.1,19.1,21.683000000000003,0.7,77.7,0.0,515.78,10.126524583333332,28.2703,28.3435
1985-01-18,1.5,18.5,18.5,20.668000000000006,0.74,76.3,0.0,515.77,10.126524583333332,27.914,27.9862
1985-01-19,1.25,19.1,19.1,21.517,0.69,73.5,0.0,515.75,10.126524583333332,27.5621,27.6334
1985-01-20,1.25,18.0,18.0,21.034,0.74,73.5,0.0,515.75,10.126524583333332,27.2147,27.2851
1985-01-21,0.25,19.1,19.1,20.818,0.67,73.5,0.0,515.75,10.126524583333332,26.8717,26.9412
1985-01-22,0.25,20.0,20.0,21.139,0.74,72.1,0.0,515.74,10.126524583333332,26.5329,26.6016
1985-01-23,1.0,22.5,22.5,21.194000000000006,0.72,72.1,0.0,515.74,10.126524583333332,26.1985,26.2663
1985-01-24,1.0,22.1,22.1,19.63,0.72,72.1,0.0,515.74,10.126524583333332,25.8683,25.9352
1985-01-25,2.75,21.8,21.8,21.44,0.72,70.8,0.0,515.73,10.126524583333332,25.5422,25.6083
1985-01-26,2.75,22.3,22.3,22.175,0.67,70.8,0.0,515.73,10.126524583333332,25.2202,26.4733
1985-01-27,2.5,21.4,21.4,22.235,0.7,72.1,0.0,515.74,10.126524583333332,24.9023,26.0476
1985-01-28,2.5,21.5,21.5,22.16,0.68,70.8,0.0,515.73,10.126524583333332,24.5884,25.5757
1985-01-29,1.0,20.1,20.1,21.676,0.72,69.4,0.0,515.72,10.126524583333332,24.2785,25.1247
1985-01-30,1.0,20.4,20.4,21.736,0.69,70.8,0.0,515.73,10.126524583333332,23.9725,24.7137
